,K,MAE,RMSE,r2
0,5,25835.169800961,35584.13903793833,0.8349182398677043
1,6,25752.55558128536,35869.58935128959,0.8322590975303537
2,7,25407.9934511824,36217.09856585815,0.8289931623377326
3,8,24560.10100610881,35096.0010070864,0.8394163098910612
4,9,25924.114997740384,35912.846211919335,0.8318542799610681
5,10,25462.675867338818,35548.37096532754,0.835249943202616
6,11,24535.350492712372,33996.28623669189,0.849322252187378
7,12,26444.708874769574,37145.298829946245,0.8201154438681952
8,13,25701.14191936903,35651.7243899291,0.8342905610996713
9,14,25898.053288796,35430.14302676091,0.8363439831645597
10,15,24889.536486306304,34476.1022052773,0.8450389734200611
11,16,26574.819940205707,37350.45996792682,0.8181228774196683
12,17,25929.620279824143,36407.87309109251,0.8271868513525451
13,18,26544.20188930018,36916.96464374032,0.8223201671357646
14,19,25179.620093625646,35116.43255009417,0.8392292841613653
15,20,26880.473145150823,36380.427652335515,0.827447297492164
16,21,25435.626667794124,35790.68557380116,0.8329962586672752
17,22,26183.69372541853,36481.34785811226,0.8264886387364407
18,23,27183.724374204357,37104.82433996427,0.8205072441365573
19,24,26524.70832675881,36610.68879966037,0.8252561236405211
20,25,27149.37879592436,37482.63786553894,0.8168333258052713
21,26,26864.990582113245,36114.07071470132,0.829964714882089
22,27,26574.661963301827,35874.78017493206,0.8322105451794509
23,28,25036.688377629653,35335.25566795758,0.8372194011840065
24,29,24952.042597261105,35564.36022436428,0.8351017044121019
25,30,24143.994050065616,33949.931152265155,0.8497328804394844
26,31,25717.18205602213,36759.887745835294,0.8238289597357348
27,32,25279.23450663219,35446.704190443845,0.8361909514633794
28,33,25326.136109376752,35377.56312252696,0.8368293683108743
29,34,24680.023843739134,35059.11107483476,0.8397537163144521
30,35,25882.627774118817,36096.52559976954,0.8301298895014477
31,36,25235.35002126725,35744.51518143059,0.8334268542114494
32,37,24286.550527341453,34502.68556175832,0.8447999108749608
33,38,25646.035973839644,36631.54860248478,0.825056938027112
34,39,24619.714113625985,35031.27103873458,0.8400081147214571
35,40,24755.81869377476,34690.66143818067,0.8431041968083645
36,41,24966.41244092526,34530.96430540318,0.8445453995497927
37,42,24752.66979665387,34873.80154345301,0.8414432448840861
38,43,24173.749492691633,34033.22909454968,0.8489945992757377
39,44,25183.954398951122,35632.90193117634,0.8344654887236591
40,45,25367.18458900163,35499.73713389556,0.8357004249187157
41,46,24671.790895591632,35187.85310078644,0.8385746613120129
42,47,25436.626437223604,36294.8673055657,0.8282579701115853
43,48,24433.338339293943,34472.898130209986,0.8450677750338287
44,49,25377.476381632823,35553.56531252399,0.8352017929501507
45,50,25631.818168982423,35344.08944652794,0.8371380010365586
46,51,23711.16715637537,33712.03469035311,0.8518314277300664
47,52,24124.801666134965,33959.1521089807,0.8496512428793037
48,53,24466.18329662192,34550.32624633556,0.8443710200213259
49,54,25703.819201071816,35498.75532540515,0.8357095127880996
50,55,25041.339845172442,35526.59594554691,0.8354517154308873
51,56,24079.619053034734,34283.205097007405,0.8467681660498118
52,57,24679.23156773482,34570.196933282845,0.8441919569357889
53,58,25336.602239369146,35496.46310446178,0.835730729190397
54,59,25353.52301947406,36119.09894132395,0.8299173629524721
55,60,24605.922798243562,34323.38290996604,0.8464087989790747
