,K,MAE,RMSE,r2
0,5,27564.608681377274,38907.64020889321,0.8026414489117499
1,6,27429.008126780245,38454.72922520863,0.8072094771668896
2,7,25823.574605574915,36001.913664916974,0.8310192092845218
3,8,25568.145471694534,35674.955002164206,0.8340745386794745
4,9,25846.24139080534,36809.09277350592,0.8233570158282173
5,10,25787.305219395563,35484.17557825638,0.8358444370607446
6,11,26909.924304024513,37556.23278123895,0.8161133460794678
7,12,27076.11464129529,37208.1130577665,0.8195065451033484
8,13,25878.672329848298,36959.330614295024,0.821912121784752
9,14,26004.087843997408,36199.647431616846,0.8291579212178094
10,15,26730.343645731802,37005.27008879121,0.8214691295578457
11,16,27149.81415075233,37462.57560619273,0.8170293501031711
12,17,25999.762417144575,36784.564154210835,0.8235923579433442
13,18,26182.143484972697,37641.68101823551,0.8152756334468598
14,19,25651.636017461664,36064.242199375214,0.8304336047407604
15,20,25949.058807798097,36262.6915361945,0.8285623372553506
16,21,25853.80978527264,36812.13127572327,0.8233278517162257
17,22,26440.093248691992,36456.58427384504,0.8267241182427665
18,23,26534.83352527171,36923.42323895187,0.822257991791103
19,24,26162.860542646085,36624.388574750505,0.8251253203263417
20,25,25790.399314325234,35880.27041562847,0.8321591845869175
21,26,26164.63166989386,36645.36153425085,0.8249249789770785
22,27,24366.202807285026,34406.14474169232,0.8456672162290734
23,28,25001.096775457914,35349.45707006472,0.8370885303447091
24,29,25509.47611854561,36060.95542687978,0.8304645107425891
25,30,24901.001088536403,35272.62935984691,0.8377958970256894
26,31,24907.228869459534,35419.569060680835,0.8364416533851161
27,32,25718.881039963206,36457.41221257477,0.8267162478706338
28,33,24597.253378900896,34689.67648505606,0.8431131059966804
29,34,25896.226407133934,36155.554645017335,0.8295738543083134
30,35,25874.764215541436,36140.77075717025,0.8297131991989519
31,36,26301.972492265108,36460.67939318785,0.8266851883604118
32,37,25391.449879557218,34975.22328007337,0.8405196584279844
33,38,25887.065948012216,36574.46475277022,0.82560174941475
34,39,24622.964700992212,35171.30196831657,0.8387264832377772
35,40,25934.07731103837,36304.56315541008,0.8281661991545851
36,41,25460.136460010875,35257.243693408076,0.8379373706829314
37,42,25194.206546847334,34984.84423726669,0.8404319069039102
38,43,25337.420687368132,35109.53720020294,0.8392924148053301
39,44,24440.442272475237,35012.40147090585,0.8401804273185609
40,45,25711.700353514614,36010.89514955347,0.8309348866731324
41,46,23806.579146919838,34376.92520952139,0.8459292401731622
42,47,25980.275996122433,35989.26975277587,0.831137880925529
43,48,26010.745881407867,35630.62832001342,0.8344866124090815
44,49,24827.940539593925,35180.33422008638,0.8386436401261146
45,50,26263.33203432028,36653.99433000706,0.824842482046551
46,51,24869.080089723146,35243.210902909086,0.838066350609301
47,52,24885.928128393127,34842.10323509752,0.8417313520893418
48,53,24375.260525767244,34115.65653477764,0.848262252561259
49,54,25742.68578177061,35543.8920962712,0.8352914555097293
50,55,24297.444695834238,34852.209204961415,0.8416395269697604
51,56,25904.54074726506,35906.96908208972,0.8319093094822931
52,57,24500.825500866984,34651.83111873571,0.8434552367855915
53,58,25472.641384762428,35287.73876677519,0.8376569035479366
54,59,25383.626069339058,35257.90884073603,0.8379312558236645
55,60,24815.91119064294,34906.54453429244,0.8411453674313312
56,61,25434.49618933976,35652.01714867053,0.8342878395995592
57,62,24778.099711949,35456.51045942867,0.8361003039503578
58,63,25047.184445617102,35196.79202290286,0.8384926357443958
59,64,24150.829843452666,34218.647090437014,0.84734471819429
60,65,24560.219364382643,34379.086630536665,0.8459098654184382
61,66,24316.425819246615,35102.49187196878,0.8393569057770878
62,67,25166.70407433607,35228.51487439526,0.8382013715280295
63,68,24829.99510818046,35215.58845428312,0.8383200874795358
64,69,24997.547211802932,35119.22803625047,0.8392036864473251
65,70,25563.042179933112,35458.029357757034,0.8360862612652
66,71,25760.50667876613,35438.453909206524,0.8362671962636756
67,72,25534.819216342967,35971.7907322991,0.8313018646748211
68,73,24498.158533472735,34707.44402938917,0.8429523545003261
69,74,24667.168189432254,34850.14148692136,0.8416583168887373
70,75,24960.814682794924,35800.00665625658,0.8329092607056121
71,76,24762.289548733464,34979.25666235507,0.8404828734005548
72,77,24805.872991673674,35089.61691502947,0.8394747261088052
73,78,25428.483654678716,35381.89192893007,0.8367894346791311
74,79,24853.673409534254,35269.70110546507,0.8378228275476398
75,80,25565.739587361048,35463.84792795783,0.8360324612167258
76,81,25373.435002086015,34826.72724139573,0.8418710107517875
77,82,25281.143901499672,35564.38288557234,0.8351014942693774
78,83,24302.851015051066,34161.76535641176,0.8478518148063865
79,84,24100.855270921085,34071.68296199605,0.848653166957225
80,85,25048.851881388422,35879.60377419471,0.8321654213627891
81,86,25320.455838461497,35708.81578852017,0.8337594138012441
82,87,25849.68558229863,35582.665115429474,0.8349319152123627
83,88,24908.11921692989,35161.448335468645,0.8388168357312643
84,89,25346.751528468965,35714.53832425389,0.8337061275804118
85,90,24295.93687447363,34734.59452463953,0.8427065519507331
86,91,24423.599706257584,35251.56634771468,0.8379895591920274
87,92,24563.25756610391,34279.200110867496,0.8468039652420702
88,93,25487.260859038783,35756.82810336314,0.8333120754609559
89,94,25836.44108560557,35598.20739753441,0.8347876823373598
90,95,23695.021950075843,34180.24130161349,0.8476871955795267
91,96,24639.030757843582,34424.923414718054,0.8454987023891132
92,97,26674.648907319337,36415.17033040366,0.8271175704431211
93,98,24097.625604232482,34772.31015674674,0.8423647807176637
94,99,24402.976339422563,35175.13204193874,0.8386913566976486
95,100,25115.195096759115,35566.28463284492,0.8350838584414744
96,101,25677.6599709569,35930.53580127355,0.8316885921022596
97,102,25334.29617871085,35366.225157598965,0.8369339389078381
98,103,25553.98832968299,35668.36447277591,0.8341358385813245
99,104,24869.457582058352,34397.01089020965,0.8457491472693064
100,105,26048.754136915657,36730.041264720356,0.8241149209476969
101,106,24762.466579816744,34797.15573979793,0.8421394325517488
102,107,26408.64835411976,36320.50823467321,0.8280152261074779
103,108,25037.393369436562,35278.91407517469,0.8377380903099843
104,109,25434.62835204811,35458.91013790973,0.8360781179045254
105,110,26086.67554277217,35760.977693925306,0.8332733848493773
