,K,MAE,RMSE,r2
0,5,26173.367848378286,35586.993353857295,0.8348917553492275
1,6,25432.11251582737,35606.554629892744,0.8347101937563519
2,7,26166.262783041224,36082.13350352258,0.8302653207961193
3,8,26735.128362818843,36940.37045448956,0.8220947933040581
4,9,25443.87321788923,34739.56930005224,0.8426614928029632
5,10,25718.24393440704,35814.68247917896,0.8327722385675695
6,11,27143.62202751727,37132.14922700679,0.8202427812099096
7,12,25097.30918797769,35142.73664532788,0.8389883421430421
8,13,26613.820879660878,37240.00660079428,0.8191969866512655
9,14,26196.47128318131,36476.675926803815,0.8265330768563219
10,15,26289.483849639222,36774.98116866347,0.8236842601702715
11,16,27556.619289552553,37343.130537319965,0.8181942513708663
12,17,26591.768203365293,36596.862630880896,0.8253880841249478
13,18,25775.468155401057,36260.49130674204,0.8285831404961211
14,19,26603.44031263871,36905.14882830723,0.8224338870016614
15,20,26519.833495596606,36726.52037449423,0.8241486395253602
16,21,26189.589614010183,36834.88793701687,0.823109352499082
17,22,26987.83794822631,36517.79551050155,0.8261417633454408
18,23,26760.671843425254,36905.90027857409,0.8224266558447262
19,24,25685.266697168445,36262.11758731296,0.8285677640823141
20,25,25163.571781519724,35220.64400371205,0.8382736626150437
21,26,27096.522753758163,37303.519215787404,0.8185797437690812
22,27,25929.108794953463,36351.61758593769,0.8277204820994367
23,28,26583.427616542383,36996.892020526786,0.8215499599096613
24,29,24709.48913856689,34493.571959453744,0.8448818897158298
25,30,24513.54493218436,34794.70357665989,0.842161680704893
26,31,24954.214013612287,35495.067227675936,0.8357436485143613
27,32,24241.144699653905,35174.14282419644,0.8387004294214124
28,33,25641.865884686347,35710.0662687896,0.8337477705020591
29,34,24840.34992073153,34951.247787054606,0.8407382308294196
30,35,25107.30898326432,35984.22713129839,0.8311851977007734
31,36,26279.45367417142,36873.01812143241,0.8227429409573853
32,37,26065.314920794328,36006.59535122404,0.8309752579268419
33,38,24194.7609094565,34859.26226477464,0.8415754255007142
34,39,26506.32301680185,36642.153671452324,0.8249556290807735
35,40,25004.099083464767,35689.59908731471,0.8339382904185029
36,41,25297.537162003176,35314.8318460411,0.8374075215802965
37,42,24984.389677841427,35208.5849592253,0.8383843892233117
38,43,25098.741880583395,35217.31499629266,0.8383042334775836
39,44,26197.240632882138,36004.91222894511,0.8309910596241197
40,45,24744.39662526027,34146.70271051063,0.847985955941815
41,46,24923.413768038376,34726.645920651885,0.8427785332300003
42,47,24864.66778097393,35149.22486156501,0.8389288832056163
43,48,24920.181187061542,34746.424437165915,0.84259939166128
44,49,24963.242478992463,34501.24795755943,0.8448128438770115
45,50,25278.58618770146,34895.58967269295,0.8412450597649989
46,51,24472.107465235706,34001.58753019669,0.8492752559219255
47,52,24432.553695692433,34651.83020327443,0.8434552450570544
48,53,25687.785966057498,35520.50362549923,0.8355081461037628
49,54,25176.07183722038,35480.1674888433,0.835881519112338
50,55,24512.106765625416,34483.710720476236,0.8449705693169514
51,56,25624.583233230398,35464.7368719504,0.836024241026651
52,57,26228.38035633591,35688.64862288395,0.8339471352164614
53,58,24626.608613170327,35093.40771663513,0.8394400405015341
54,59,26110.44136594403,36223.62769392801,0.8289314994088756
55,60,23778.02475608113,33678.8162608392,0.8521232821012803
56,61,24712.207899950048,35750.068220092086,0.8333750947197416
57,62,24627.08437748133,34350.5844149146,0.8461652584552996
58,63,25227.590868899937,35474.998811025675,0.8359293325148184
59,64,25316.46323000128,35994.620789431865,0.8310876629261208
60,65,25263.415549929272,35244.80606913454,0.8380516915060326
61,66,24771.072852556634,34017.26062440006,0.8491362702013792
62,67,24921.72878493065,34742.7994117694,0.8426322325332888
63,68,26406.165870251752,36906.43372366926,0.8224215224479876
64,69,25221.956308448145,35740.532696004724,0.8334639697334818
65,70,24257.903747185264,33735.924476140826,0.8516213561825491
66,71,25216.476895186923,34858.57452645387,0.8415816765553248
67,72,24985.09931578502,35505.12482576711,0.835650550596909
68,73,26106.940779911478,36842.298617769804,0.8230381693324755
69,74,25924.442812318746,36881.93792659101,0.8226571714842679
70,75,25280.50713385855,34863.16369119728,0.8415399619614164
71,76,25284.368188915032,35641.562640219454,0.8343850113902077
72,77,26163.157937997403,36522.03716366677,0.8261013726724653
73,78,25982.160334055272,35913.15288762686,0.8318514082071821
74,79,25587.327883440266,35833.775342116794,0.8325938922824261
75,80,26004.286010319443,36313.440481472324,0.8280821540072393
76,81,25105.777987123438,35821.94546665811,0.8327044062592993
77,82,24977.42557124425,34522.35871570997,0.8446228727300488
78,83,26714.914741806995,38179.43503902443,0.8099599390527558
79,84,25509.082379639163,35234.46841258875,0.8381466797129886
80,85,25049.29398084536,35479.409430607164,0.8358885320463728
81,86,24987.07784706306,35499.317719970386,0.8357043071515537
82,87,25714.065058791144,36772.890414112706,0.8237043076288877
83,88,25587.619868518836,36003.6282824852,0.8310031132328157
84,89,25832.52919626213,36841.90859425983,0.8230419160535862
85,90,25179.351375889582,35459.67288368195,0.8360710656817241
86,91,25852.274069769403,36072.51939291559,0.8303557606020697
87,92,25569.254542960305,36462.02201754441,0.8266724238713385
88,93,24941.64559335924,35138.10460377751,0.8390307841159215
89,94,25645.730409579708,35928.17085682453,0.8317107478548097
90,95,24872.72515529909,35344.65472183746,0.8371327915316874
91,96,25177.15235115586,36548.40812061027,0.8258501529049633
92,97,26206.5814630837,37275.44895870097,0.8188526722930256
93,98,25134.09155620333,36038.83600023808,0.8306724296764487
94,99,24482.817168821515,35131.27649500951,0.8390933377758626
95,100,26064.729564862122,35982.801769521735,0.8311985711935563
96,101,25796.578367167218,36618.361655830915,0.8251828704363583
97,102,25221.80053171313,36115.15632473926,0.829954492008669
