GarageArea,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,SalePrice
548,2,1710,856,856,7,208500
460,2,1262,1262,1262,6,181500
608,2,1786,920,920,7,223500
642,3,1717,961,756,7,140000
836,3,2198,1145,1145,8,250000
480,2,1362,796,796,5,143000
636,2,1694,1694,1686,8,307000
484,2,2090,1107,1107,7,200000
468,2,1774,1022,952,7,129900
205,1,1077,1077,991,5,118000
384,1,1040,1040,1040,5,129500
736,3,2324,1182,1175,9,345000
352,1,912,912,912,5,144000
840,3,1494,1494,1494,7,279500
352,1,1253,1253,1253,6,157000
576,2,854,854,832,7,132000
480,2,1004,1004,1004,6,149000
516,2,1296,1296,0,4,90000
576,2,1114,1114,1114,5,159000
294,1,1339,1339,1029,5,139000
853,3,2376,1158,1158,8,325300
280,1,1108,1108,637,7,139400
534,2,1795,1795,1777,8,230000
572,2,1060,1060,1040,5,129900
270,1,1060,1060,1060,5,154000
890,3,1600,1600,1566,8,256300
576,2,900,900,900,5,134800
772,3,1704,1704,1704,8,306000
319,1,1600,1600,1484,5,207500
240,1,520,520,520,4,68500
250,1,1317,649,649,4,40000
271,1,1228,1228,1228,5,149350
484,2,1234,1234,1234,8,179900
447,2,1700,1700,1398,5,165500
556,2,1561,1561,1561,9,277500
691,3,2452,1132,1117,8,309000
672,2,1097,1097,1097,5,145000
498,2,1297,1297,1297,5,153000
246,1,1057,1057,1057,5,109000
0,0,1152,1152,0,4,82000
440,2,1324,1324,1088,6,160000
308,1,1328,1328,1350,5,170000
504,2,884,884,840,5,144000
308,1,938,938,938,5,130250
300,1,1150,1150,1150,5,141000
576,2,1752,1752,1752,9,319900
670,2,2149,1518,1434,7,239686
826,3,1656,1656,1656,8,249700
0,0,1452,736,736,4,113000
386,1,955,955,955,5,127000
388,2,1470,794,794,6,177000
528,2,1176,816,816,6,114500
516,2,816,816,816,5,110000
894,3,1842,1842,1842,9,385000
572,2,1360,1360,384,5,130000
576,2,1425,1425,1425,6,180500
480,2,1739,983,970,8,172500
565,2,1720,860,860,7,196500
641,3,2945,1426,1410,10,438780
352,1,780,780,780,5,124900
576,2,1158,1158,1158,6,158000
288,1,1111,581,530,5,101000
484,2,1370,1370,1370,8,202500
480,2,1710,902,576,7,140000
645,2,2034,1057,1057,7,219500
852,3,2473,1143,1143,8,317000
576,2,2207,2207,1947,7,180000
558,2,1479,1479,1453,7,226000
220,1,747,747,747,4,80000
667,2,2287,1304,1304,7,225000
516,2,2223,2223,2223,7,244000
360,2,845,845,845,4,129500
427,2,1718,885,832,7,185000
490,2,1086,1086,1086,5,144900
379,1,1605,840,840,3,107400
297,1,988,526,462,4,91000
283,1,952,952,952,4,135750
240,1,1285,1072,672,5,127000
0,0,1768,1768,1768,4,136500
440,2,1230,682,440,5,110000
509,1,2142,1182,896,6,193500
405,2,1337,1337,1237,6,153500
758,3,1563,1563,1563,8,245000
461,2,1065,1065,1065,5,126500
400,2,1474,804,384,7,168500
462,2,2417,1301,1288,8,260000
400,2,1560,684,684,6,174000
528,2,1224,612,612,6,164500
0,0,1526,1013,1013,3,85000
0,0,990,990,990,4,123600
420,2,1040,1040,0,4,109900
480,2,1235,1235,1235,5,98600
432,2,964,964,876,5,163500
506,2,2291,1260,1214,6,133900
684,2,1786,905,824,6,204750
420,2,1470,680,680,6,185000
472,2,1588,1588,1588,7,214000
432,1,960,960,960,4,94750
366,1,835,835,458,5,83000
0,0,1225,1225,950,4,128950
480,2,1610,1610,1610,6,205000
476,2,1732,977,741,6,178000
410,2,1535,1535,0,5,118964
740,3,1226,1226,1226,7,198900
240,1,1818,1226,1040,7,169500
648,2,1992,1053,1053,8,250000
273,1,1047,1047,641,4,100000
250,1,789,789,789,5,115000
0,0,1517,997,793,5,115000
546,2,1844,1844,1844,6,190000
325,1,1855,1216,994,6,136900
400,2,1430,774,384,7,180000
792,3,2696,1282,1264,7,383970
450,2,2259,2259,1809,6,217000
180,1,2320,1436,1028,6,259500
440,2,1458,729,729,6,176000
288,1,1092,1092,1092,5,139000
430,2,1125,1125,1125,5,155000
594,3,3222,1699,1673,7,320000
390,2,1456,728,728,6,163990
540,2,988,988,938,6,180000
264,1,1123,772,732,4,100000
288,1,1080,1080,1080,6,136000
530,2,1199,1199,1199,6,153900
435,2,1586,1586,1362,6,181000
0,0,754,520,520,6,84500
440,2,958,958,1078,6,128000
0,0,840,840,672,5,87000
453,2,1348,660,660,6,155000
750,2,1053,1053,1008,5,150000
487,2,2157,1216,924,7,226000
390,2,2054,1022,992,6,244000
624,2,1327,1327,1063,5,150750
471,2,1296,1296,1267,8,220000
440,2,1721,1721,1461,5,180000
530,2,1682,1682,1304,7,174000
318,1,1214,1214,1214,5,143000
766,3,1959,1959,1907,7,171000
660,3,1852,1004,1004,8,230000
470,2,1764,928,928,6,231500
0,0,864,864,864,4,115000
660,2,1734,1734,1734,7,260000
720,2,1385,910,910,5,166000
577,2,1501,1501,1490,7,204000
504,2,1728,1728,1728,5,125000
380,2,1709,970,970,6,130000
180,1,875,875,715,5,105000
434,2,2035,884,884,7,222500
0,0,1080,1080,1080,7,141000
240,1,1344,896,896,5,115000
440,2,969,969,969,5,122000
866,3,1710,1710,1710,8,372402
495,2,1993,1097,825,6,190000
564,2,1252,1252,1602,6,235000
312,1,1200,1200,1200,6,125000
0,0,1096,572,572,6,79000
625,2,1040,1040,0,5,109500
680,3,1968,774,774,8,269500
678,2,1947,991,991,7,254900
576,2,2462,1392,1392,7,320000
516,2,1232,1232,1232,6,162500
726,3,2668,1572,1572,9,412500
532,2,1541,1541,1541,7,220000
0,0,882,882,882,4,103200
216,1,1616,1149,1149,6,152000
0,0,1355,808,644,5,127500
303,1,1867,1867,1617,5,190000
789,3,2161,1610,1582,8,325624
440,2,1720,840,840,7,183500
511,2,1707,1707,1686,8,228000
660,2,1382,854,720,5,128500
528,2,1656,1656,1080,6,215000
504,2,1767,1064,1064,7,239000
504,2,1362,1362,1362,6,163000
616,2,1651,1651,1606,6,184000
576,2,2158,2158,1202,6,243000
521,2,2060,1164,1151,6,211000
451,2,1920,1252,1052,5,172500
1166,3,2234,2234,2216,9,501837
480,2,968,968,968,5,100000
440,2,1525,769,756,6,177000
216,1,1802,901,793,7,200100
252,1,1340,1340,0,5,120000
484,2,2082,1362,1362,7,200000
576,2,1252,936,504,5,127000
840,3,3608,1518,1107,10,475000
497,2,1217,1217,1188,7,173000
180,1,1656,808,660,5,135000
528,2,1224,1224,1086,5,153337
682,2,1593,1593,1593,8,286000
440,2,2727,1549,853,8,315000
484,2,1479,725,725,7,184000
666,2,1431,1431,1431,7,192000
380,2,1709,970,970,7,130000
352,1,864,864,864,5,127000
440,2,1456,855,855,6,148500
786,3,1726,1726,1726,7,311872
795,2,3112,1360,1360,8,235000
0,0,2229,929,755,6,104000
856,3,1713,1713,1713,8,274900
440,2,1121,1121,1121,4,140000
473,2,1279,1279,1196,6,171500
398,1,1310,865,617,6,112000
420,2,848,848,848,6,149000
240,1,1284,720,720,5,110000
500,2,1442,1442,1424,7,180500
349,1,1696,1696,1140,5,143900
312,1,1100,1100,1100,4,141000
454,2,2062,1180,1157,7,277000
504,2,1092,1092,1092,6,145000
0,0,864,864,864,5,98000
460,2,1212,1212,1212,6,186000
644,2,1852,932,900,7,252678
576,2,990,990,990,5,156000
299,1,1392,689,689,6,161750
447,1,1236,1236,1070,5,134450
484,2,1436,1436,1436,7,210000
210,1,1328,810,686,4,107000
431,2,1954,1137,798,7,311500
438,2,1248,1248,1248,7,167240
675,2,1498,1498,1498,7,204900
390,2,2267,1010,1010,6,200000
434,2,1552,811,713,6,179900
576,2,864,864,864,4,97000
968,3,2392,2392,2392,10,386250
280,1,1302,630,630,5,112000
721,3,2520,1214,1203,7,290000
280,1,987,483,483,6,106000
336,1,912,912,912,5,125000
430,2,1555,1555,1373,7,192500
312,1,1194,1194,1194,6,148000
810,3,2794,1490,1462,8,403000
288,1,987,483,483,6,94500
308,1,894,894,894,5,128200
440,2,1960,860,860,6,216500
264,1,987,483,483,6,89500
494,2,1414,1414,1414,7,185500
457,2,1744,1014,996,7,194500
818,3,1694,1694,1694,8,318000
220,1,1487,798,735,6,113000
750,2,1566,1566,1566,8,262500
0,0,866,866,686,5,110500
352,1,1440,889,540,5,79000
288,1,1217,626,626,6,120000
463,2,2110,1222,948,7,205000
604,2,1872,1872,1845,7,241500
440,1,1928,908,1020,6,137000
451,2,1375,1375,1367,6,140000
500,2,1668,840,840,7,180000
389,2,2144,1444,1444,6,277000
0,0,1306,1306,728,3,76500
538,2,1625,1625,1573,8,235000
520,2,1640,798,798,6,173000
309,1,1302,1302,1302,6,158000
294,1,1314,1314,1314,5,145000
429,2,2291,1005,975,7,230000
673,2,1728,864,864,6,207500
660,2,1604,1604,1604,7,220000
564,2,1792,963,963,7,231500
308,1,882,882,0,5,97000
884,2,1382,1382,1362,6,176000
868,3,2574,1482,1482,8,276000
492,2,1212,1212,506,6,151000
484,2,1316,926,926,5,130000
504,2,764,764,680,5,73000
576,2,1422,1422,1422,6,175500
413,2,1511,802,802,6,185000
240,1,2192,1052,720,5,179500
924,1,778,778,740,5,120500
504,1,1113,1113,1143,6,148000
1053,3,1939,1095,1095,8,266000
439,2,1363,1363,1385,7,241500
671,3,2270,1164,1152,8,290000
338,1,1632,1632,1240,6,139000
264,1,816,816,816,5,124500
672,2,1548,952,952,7,205000
573,2,1560,1560,1560,7,201000
400,2,864,864,864,4,141000
732,3,2121,2121,2121,9,415298
505,2,2022,1156,1160,7,192000
575,2,1982,1175,807,7,228500
572,2,1262,1262,1262,6,185000
626,2,1314,1314,1314,7,207500
898,3,1468,1468,1468,8,244600
529,2,1575,1575,1575,6,179200
528,2,1250,625,625,7,164700
440,2,1734,1085,912,6,159000
0,0,858,858,858,4,88000
280,1,900,900,882,5,122000
384,1,1396,698,698,6,153575
685,2,1919,1079,1079,8,233230
0,0,1716,936,780,5,135900
281,1,1716,1148,768,5,131000
539,2,2263,1468,795,7,235000
418,2,1644,1644,1416,6,167000
588,2,1003,1003,1003,6,142500
282,1,1558,910,910,5,152000
576,2,1950,975,975,7,239000
539,2,1743,1041,702,6,175000
300,1,1152,1152,1092,6,158500
375,1,1336,1336,1165,5,157000
683,2,2452,1210,1028,8,267000
843,3,1541,1541,1541,7,205000
552,2,894,894,894,5,149900
870,3,3493,1675,1470,7,295000
888,3,2000,2000,2000,8,305900
746,3,2243,1122,700,7,225000
0,0,1406,1035,319,6,89500
539,2,861,861,861,4,82500
708,3,1944,1944,1896,9,360000
420,2,1501,697,697,6,165600
240,1,972,972,972,6,132000
410,2,1118,793,793,5,119900
513,2,2036,2036,2136,7,375000
546,2,1641,832,728,7,178000
432,2,1432,716,716,7,188500
484,2,2353,1153,845,7,260000
1025,3,1959,1088,1088,8,270000
656,3,2646,1372,1347,7,260000
588,2,1472,1472,1372,7,187500
840,3,2596,1249,1249,9,342643
872,3,2468,1136,1136,8,354000
576,2,2730,1553,1502,7,301000
220,1,1163,1163,1162,3,126175
564,2,2978,1898,710,7,242000
360,2,803,803,720,5,87000
473,2,1719,1719,1719,8,324000
292,1,1383,1383,1383,6,145250
441,2,2134,1445,844,6,214500
189,1,1192,596,596,5,78000
352,1,1728,1728,1728,5,119000
308,1,1056,1056,1056,5,139000
880,3,1629,1629,3206,8,284000
484,2,1358,1358,1358,7,207000
472,2,1638,943,943,6,192000
529,2,1786,1619,1499,5,228950
676,3,1922,1922,1922,9,377426
532,2,1536,1536,1536,7,214000
440,2,1621,1621,1208,7,202500
297,1,1215,1215,1215,6,155000
431,2,1908,993,967,8,202900
294,1,841,841,721,4,82000
400,2,1040,1040,0,3,87500
564,2,1684,1684,1684,9,266000
336,1,1112,536,536,5,85000
312,1,1577,972,972,6,140200
301,1,958,958,958,6,151500
498,2,1478,1478,1478,6,157500
474,2,1626,764,764,7,154000
706,3,2728,1848,1848,9,437154
617,2,1869,1869,1869,9,318061
445,2,1453,1453,1453,7,190000
200,1,1111,616,616,5,95000
484,2,720,720,624,6,105900
240,1,1595,1192,940,6,140000
521,2,1200,1200,1200,6,177500
400,2,1167,1167,1158,6,173000
528,2,1142,1142,1142,5,134000
288,1,1352,1352,1062,5,130000
592,2,1924,1086,1086,8,280000
470,2,912,912,888,6,156000
240,1,1505,988,883,5,145000
672,2,1922,495,0,7,198500
264,1,987,483,483,6,118000
566,2,1574,790,796,6,190000
468,1,1344,672,672,5,147000
514,2,1394,1394,1394,6,159000
296,1,1431,1431,1099,6,165000
244,1,1268,1268,1268,5,132000
576,2,1287,1287,1063,5,162000
460,2,1664,953,953,6,172400
680,2,1588,1120,0,4,134432
264,1,752,752,744,6,125000
270,1,1319,1319,608,5,123000
434,2,1928,847,847,7,219500
0,0,904,904,683,1,61000
576,2,914,914,870,5,148000
610,2,2466,1580,1580,8,340000
834,3,1856,1856,1856,9,394432
463,2,1800,1007,982,6,179000
308,1,1691,1026,1026,5,127000
572,2,1301,1301,1293,7,187750
639,2,1797,939,939,7,213500
360,2,784,784,784,6,76000
501,2,1953,1079,1580,6,240000
430,2,1269,1269,1256,8,192000
0,0,1184,658,658,5,81000
352,1,1125,1125,1041,6,125000
577,2,1479,1479,1468,7,191000
846,3,2332,1742,1682,10,426000
384,1,1367,961,861,5,119000
560,2,1961,804,804,6,215000
294,1,882,882,0,5,106500
0,0,788,788,788,4,100000
240,1,1034,735,735,5,109000
596,1,1144,1144,1144,5,129000
600,2,894,894,894,5,123000
264,1,1812,876,864,5,169500
338,1,1077,1077,961,5,67000
438,2,1550,1112,1092,7,241000
500,2,1288,1288,1260,8,245500
400,2,1310,1310,1310,7,164990
240,1,672,672,672,5,108000
420,2,2263,1165,1141,8,258000
373,2,1572,806,806,6,168000
490,2,1620,1620,1281,4,150000
240,1,1639,1166,1064,6,115000
308,1,1680,840,840,6,177000
947,3,2172,1071,1063,7,280000
836,3,2078,1050,1034,8,339750
350,1,1276,1276,1276,5,60000
572,2,1056,1056,1056,5,145000
484,2,1478,1478,1470,7,222000
360,2,1028,1028,1008,5,115000
678,3,2097,1080,1080,7,228000
396,2,1340,1340,1340,7,181134
440,2,1400,672,672,6,149500
864,3,2624,1370,1370,6,239000
240,1,1134,756,756,5,126000
304,1,1056,1056,1056,5,142000
784,4,1344,1344,1344,7,206300
529,2,1602,1602,1602,6,215000
520,2,988,988,988,5,113000
696,3,2630,1470,1470,8,315000
297,1,1196,1196,1196,6,139000
240,1,1389,707,651,7,135000
569,2,1644,1644,1518,7,275000
352,1,907,907,907,4,109008
628,2,1208,1208,1208,7,195400
576,2,1412,1412,1392,6,175000
264,1,987,483,483,6,85400
0,0,1198,1088,901,6,79900
440,2,1365,765,765,5,122500
470,2,1604,926,926,6,181000
0,0,630,630,630,4,81000
550,2,1661,827,799,7,212000
440,2,1118,734,648,6,116000
180,1,904,904,884,6,119000
352,1,694,694,440,5,90350
528,2,1196,684,684,6,110000
672,3,2402,2402,3094,10,555000
0,0,1440,1440,1440,4,118000
360,2,1573,1128,1078,5,162900
648,3,1258,1258,1258,7,172500
493,2,1908,933,915,7,210000
480,2,1689,1689,1436,6,127500
578,2,1888,1888,1517,6,190000
431,2,1886,956,930,7,199900
198,1,1376,780,780,6,119500
308,1,1183,679,649,3,120000
270,1,813,813,813,6,110000
576,2,1533,1533,1533,7,280000
422,2,1756,888,872,6,204000
676,2,1590,786,768,8,210000
560,2,1728,1728,1728,5,188000
528,2,1242,1242,1242,7,175500
513,3,1344,624,624,5,98000
529,2,1663,1663,1364,4,256000
228,1,1666,833,588,8,161000
352,1,1203,979,709,5,110000
552,2,1935,832,832,8,263435
576,2,1135,575,560,7,155000
360,1,864,864,864,5,62383
240,1,1660,849,715,6,188700
0,0,1040,1040,1040,5,124000
398,2,1414,1414,1375,7,178740
526,2,1277,1277,1277,7,167000
312,1,1644,888,728,5,146500
866,3,1634,1634,1626,8,250000
506,2,1710,832,832,6,187000
528,2,1502,1502,1488,8,212000
534,2,1969,1161,808,7,190000
525,2,1072,1072,547,6,148000
908,3,1976,1976,1976,8,440000
499,2,1652,1652,1494,8,251000
624,2,970,970,970,5,132500
