Model,feature_selection,NOF,Scaler,Encoder,Imputer,R2,MAE
GradientBoostRG,VarianceThreshold,100,,LabelEncoder,SimpleImputer,0.8987325391738796,17011.33348675851
GradientBoostRG,VarianceThreshold,110,,LabelEncoder,SimpleImputer,0.8940745251127484,17185.55870036729
GradientBoostRG,VarianceThreshold,120,,LabelEncoder,SimpleImputer,0.8973734998066933,17164.17499214663
GradientBoostRG,VarianceThreshold,130,,LabelEncoder,SimpleImputer,0.8945010202429624,17195.923439587714
GradientBoostRG,VarianceThreshold,140,,LabelEncoder,SimpleImputer,0.902729382384216,16972.291268275752
GradientBoostRG,VarianceThreshold,150,,LabelEncoder,SimpleImputer,0.8960712416785034,17229.60876951541
GradientBoostRG,VarianceThreshold,160,,LabelEncoder,SimpleImputer,0.8916676066954197,17163.387804263908
GradientBoostRG,VarianceThreshold,170,,LabelEncoder,SimpleImputer,0.9006763834842152,16989.851881231094
GradientBoostRG,VarianceThreshold,180,,LabelEncoder,SimpleImputer,0.8985765605305159,17061.166510924195
GradientBoostRG,VarianceThreshold,190,,LabelEncoder,SimpleImputer,0.8941512368483044,17124.29071538907
GradientBoostRG,VarianceThreshold,200,,LabelEncoder,SimpleImputer,0.8983283443143559,17144.5270862849
GradientBoostRG,VarianceThreshold,210,,LabelEncoder,SimpleImputer,0.8931456766098744,17163.30098105094
GradientBoostRG,VarianceThreshold,220,,LabelEncoder,SimpleImputer,0.8817893650255564,17384.654961096505
GradientBoostRG,VarianceThreshold,230,,LabelEncoder,SimpleImputer,0.9020404924694342,16996.654633168473
GradientBoostRG,VarianceThreshold,240,,LabelEncoder,SimpleImputer,0.9005956785045851,17027.19819720332
GradientBoostRG,VarianceThreshold,250,,LabelEncoder,SimpleImputer,0.885130533978478,17393.715540877296
GradientBoostRG,VarianceThreshold,260,,LabelEncoder,SimpleImputer,0.8951792392456256,17106.8158650596
GradientBoostRG,VarianceThreshold,270,,LabelEncoder,SimpleImputer,0.8917300757507096,17229.258430984086
GradientBoostRG,VarianceThreshold,280,,LabelEncoder,SimpleImputer,0.8962656192643695,17002.97111863727
GradientBoostRG,VarianceThreshold,290,,LabelEncoder,SimpleImputer,0.8905535493463943,17260.90204245125
GradientBoostRG,VarianceThreshold,300,,LabelEncoder,SimpleImputer,0.8932813202182287,17098.116019779845
GradientBoostRG,VarianceThreshold,310,,LabelEncoder,SimpleImputer,0.8860196367499173,17284.17878198802
GradientBoostRG,VarianceThreshold,320,,LabelEncoder,SimpleImputer,0.897516000519009,17132.36902459176
GradientBoostRG,VarianceThreshold,330,,LabelEncoder,SimpleImputer,0.904095831832299,16834.83819964676
GradientBoostRG,VarianceThreshold,340,,LabelEncoder,SimpleImputer,0.886128546585961,17248.697462092878
GradientBoostRG,VarianceThreshold,350,,LabelEncoder,SimpleImputer,0.8966899845630851,17061.25600660459
GradientBoostRG,VarianceThreshold,360,,LabelEncoder,SimpleImputer,0.8944781788554178,17145.084157993864
GradientBoostRG,VarianceThreshold,370,,LabelEncoder,SimpleImputer,0.9024699126726404,16959.150087564398
GradientBoostRG,VarianceThreshold,380,,LabelEncoder,SimpleImputer,0.8914946963276704,17300.641674413426
GradientBoostRG,VarianceThreshold,390,,LabelEncoder,SimpleImputer,0.894422843500543,17156.665814086922
GradientBoostRG,VarianceThreshold,400,,LabelEncoder,SimpleImputer,0.904073388075586,16834.447606977974
GradientBoostRG,VarianceThreshold,410,,LabelEncoder,SimpleImputer,0.8889768119120416,17287.822599162497
GradientBoostRG,VarianceThreshold,420,,LabelEncoder,SimpleImputer,0.8970902509178368,17125.25758171316
GradientBoostRG,VarianceThreshold,430,,LabelEncoder,SimpleImputer,0.8910712512040719,17214.5761278968
GradientBoostRG,VarianceThreshold,440,,LabelEncoder,SimpleImputer,0.894388454312924,17043.153536443682
GradientBoostRG,VarianceThreshold,450,,LabelEncoder,SimpleImputer,0.8856700578820627,17270.3577030185
GradientBoostRG,VarianceThreshold,460,,LabelEncoder,SimpleImputer,0.900806223460982,16958.333150694918
GradientBoostRG,VarianceThreshold,470,,LabelEncoder,SimpleImputer,0.8929033841278189,17104.721728065306
GradientBoostRG,VarianceThreshold,480,,LabelEncoder,SimpleImputer,0.893431450562396,17202.435019182438
