,K,MAE,RMSE,r2
0,5,23945.387198945384,35745.65750661705,0.8334162073337756
1,15,19498.212357975655,30441.73231819247,0.8791838780384381
2,25,19276.356096702646,29897.367075812657,0.8834661611616539
3,35,18491.21247758058,27654.911988278483,0.9002918342165404
4,45,16347.773944057677,25900.73120788185,0.9125398504597683
5,55,16223.170848958893,25621.386274988854,0.9144162299072645
6,65,16617.58624227073,25551.7988212906,0.914880488082509
7,75,16449.329454548108,24815.688791828492,0.9197141824768993
8,85,16954.21171936192,27027.00161483483,0.9047682202089604
9,95,16712.72615072997,25926.42296717277,0.9123662553956429
10,105,16652.33991957229,26073.98417165176,0.9113658751636244
11,115,16464.757507832062,25453.894693101276,0.9155315253163022
