,K,MAE,RMSE,r2
0,5,28221.22748974875,46221.504809533806,0.7214684944095446
1,15,25387.162954514966,37132.30810404618,0.8202412429549782
2,25,20684.562547288744,29119.070750982974,0.8894544692758637
3,35,20596.91488220629,28731.826641452964,0.8923751298372431
4,45,19417.435832534,29043.79470245542,0.8900252755967568
5,55,17653.688877133285,27742.811963612716,0.8996569904775112
6,65,18435.62256108513,29441.213594937693,0.8869950202208398
7,75,17540.08970713629,27903.430883928733,0.8984917415422782
8,85,16888.043825927056,26777.69891490472,0.9065169929141456
9,95,17197.89530402834,27218.72017943602,0.9034123571547388
10,105,17037.328974181983,27375.55348168229,0.9022960812636317
11,115,17065.26495363599,27716.545605345702,0.8998469061754641
