,K,MAE,RMSE,r2
0,5,23446.92473360273,35215.81097177598,0.8383180442524297
1,15,21977.904468776862,33357.998119509466,0.8549271558361442
2,25,18196.894938565554,29191.247111863857,0.8889057798940218
3,35,18406.321720747033,29343.342908965846,0.8877450906499431
4,45,18342.14372146048,29376.508974249216,0.8874911892657799
5,55,17649.325494103665,27485.0574337872,0.9015128741942238
6,65,17685.084867710546,28298.875402812708,0.8955942254041894
7,75,17761.456621874506,28180.75943981113,0.8964639597908656
8,85,17514.48263946187,27325.98502847633,0.9026495826113832
9,95,17991.165841178314,28478.66246674854,0.8942633997580116
10,105,17585.765394167967,27068.234632410924,0.9044774229512277
11,115,17658.168549047667,27188.487377230755,0.9036268046632502
