Model,feature_selection,NOF,Scaler,Encoder,Imputer,R2,MAE
RandomForestRG,VarianceThreshold,100,,LabelEncoder,SimpleImputer,0.8992906570042096,17306.782705479454
RandomForestRG,VarianceThreshold,110,,LabelEncoder,SimpleImputer,0.8936936163831817,17499.186746575342
RandomForestRG,VarianceThreshold,120,,LabelEncoder,SimpleImputer,0.8938850256878519,17543.26445205479
RandomForestRG,VarianceThreshold,130,,LabelEncoder,SimpleImputer,0.8944159901342104,17768.785993150683
RandomForestRG,VarianceThreshold,140,,LabelEncoder,SimpleImputer,0.8930075955366087,17419.923047945205
RandomForestRG,VarianceThreshold,150,,LabelEncoder,SimpleImputer,0.888940032152249,17686.165171232875
RandomForestRG,VarianceThreshold,160,,LabelEncoder,SimpleImputer,0.890120700320839,17459.044246575344
RandomForestRG,VarianceThreshold,170,,LabelEncoder,SimpleImputer,0.8910109035833507,17694.22136986301
RandomForestRG,VarianceThreshold,180,,LabelEncoder,SimpleImputer,0.8873359767684865,17895.943184931504
RandomForestRG,VarianceThreshold,190,,LabelEncoder,SimpleImputer,0.8914390774481498,17717.29660958904
RandomForestRG,VarianceThreshold,200,,LabelEncoder,SimpleImputer,0.8919078074897233,17827.499143835616
RandomForestRG,VarianceThreshold,210,,LabelEncoder,SimpleImputer,0.8901446801765156,17430.567226027397
RandomForestRG,VarianceThreshold,220,,LabelEncoder,SimpleImputer,0.8928977913595189,17523.05904109589
RandomForestRG,VarianceThreshold,230,,LabelEncoder,SimpleImputer,0.8958468613025702,17467.507328767122
RandomForestRG,VarianceThreshold,240,,LabelEncoder,SimpleImputer,0.8924570526797999,17727.240171232876
RandomForestRG,VarianceThreshold,250,,LabelEncoder,SimpleImputer,0.8936594624748475,17466.659212328766
RandomForestRG,VarianceThreshold,260,,LabelEncoder,SimpleImputer,0.8907763312958071,17480.568698630137
RandomForestRG,VarianceThreshold,270,,LabelEncoder,SimpleImputer,0.8936741560474698,17555.909178082195
RandomForestRG,VarianceThreshold,280,,LabelEncoder,SimpleImputer,0.8934934028827279,17661.91691780822
RandomForestRG,VarianceThreshold,290,,LabelEncoder,SimpleImputer,0.9009752991077878,17199.95229452055
RandomForestRG,VarianceThreshold,300,,LabelEncoder,SimpleImputer,0.8851007789653612,17948.218904109588
RandomForestRG,VarianceThreshold,310,,LabelEncoder,SimpleImputer,0.898470017830232,17166.774760273973
RandomForestRG,VarianceThreshold,320,,LabelEncoder,SimpleImputer,0.889765336662778,17752.17654109589
RandomForestRG,VarianceThreshold,330,,LabelEncoder,SimpleImputer,0.8907616088937359,17518.579452054793
RandomForestRG,VarianceThreshold,340,,LabelEncoder,SimpleImputer,0.8954140773145425,17764.87226027397
RandomForestRG,VarianceThreshold,350,,LabelEncoder,SimpleImputer,0.892958479532515,17402.146232876712
RandomForestRG,VarianceThreshold,360,,LabelEncoder,SimpleImputer,0.8953310664371826,17378.88417808219
RandomForestRG,VarianceThreshold,370,,LabelEncoder,SimpleImputer,0.8894984618507775,17860.630068493152
RandomForestRG,VarianceThreshold,380,,LabelEncoder,SimpleImputer,0.8943659970862499,17602.251780821916
RandomForestRG,VarianceThreshold,390,,LabelEncoder,SimpleImputer,0.8902043051526223,17723.990719178084
RandomForestRG,VarianceThreshold,400,,LabelEncoder,SimpleImputer,0.8914578615112575,17570.727945205483
RandomForestRG,VarianceThreshold,410,,LabelEncoder,SimpleImputer,0.8913548241437994,17590.784931506845
RandomForestRG,VarianceThreshold,420,,LabelEncoder,SimpleImputer,0.8953305024506985,17498.807842465754
RandomForestRG,VarianceThreshold,430,,LabelEncoder,SimpleImputer,0.8969469536863072,17170.594212328768
RandomForestRG,VarianceThreshold,440,,LabelEncoder,SimpleImputer,0.8891231070094301,17650.06424657534
RandomForestRG,VarianceThreshold,450,,LabelEncoder,SimpleImputer,0.897753008116965,17217.63160958904
RandomForestRG,VarianceThreshold,460,,LabelEncoder,SimpleImputer,0.8922389404204816,17636.23705479452
RandomForestRG,VarianceThreshold,470,,LabelEncoder,SimpleImputer,0.8930466525684954,17559.43205479452
RandomForestRG,VarianceThreshold,480,,LabelEncoder,SimpleImputer,0.891637941016987,17615.03770547945
RandomForestRG,VarianceThreshold,490,,LabelEncoder,SimpleImputer,0.8850842245110525,17806.091815068492
RandomForestRG,UFS,5,,LabelEncoder,SimpleImputer,0.8745636782649612,19551.883675799087
RandomForestRG,UFS,15,,LabelEncoder,SimpleImputer,0.8906316446660592,18533.221705479453
RandomForestRG,UFS,25,,LabelEncoder,SimpleImputer,0.8863194045226752,18691.743515981736
RandomForestRG,UFS,35,,LabelEncoder,SimpleImputer,0.892336551778932,17644.60897260274
RandomForestRG,UFS,45,,LabelEncoder,SimpleImputer,0.8949948999977858,17595.298732876712
RandomForestRG,UFS,55,,LabelEncoder,SimpleImputer,0.8949958186547983,17630.495684931506
RandomForestRG,UFS,65,,LabelEncoder,SimpleImputer,0.8997220098124789,17175.904006849316
RandomForestRG,UFS,75,,LabelEncoder,SimpleImputer,0.8931554974846484,17324.002945205484
RandomForestRG,UFS,85,,LabelEncoder,SimpleImputer,0.888994295071727,17624.20369863014
RandomForestRG,UFS,95,,LabelEncoder,SimpleImputer,0.8883514905662655,17742.323630136987
RandomForestRG,UFS,105,,LabelEncoder,SimpleImputer,0.892237303012503,17636.61955479452
RandomForestRG,UFS,115,,LabelEncoder,SimpleImputer,0.8956707204678679,17527.990993150685
RandomForestRG,VarianceThreshold,100,Normalizer,LabelEncoder,SimpleImputer,0.7128661305075636,28532.74020547945
RandomForestRG,VarianceThreshold,110,Normalizer,LabelEncoder,SimpleImputer,0.7265352718132507,27775.79823630137
