,K,MAE,RMSE,r2
0,5,23423.370410958905,37692.746759939924,0.8147740891413823
1,15,18260.590102739727,29904.32693850716,0.8834118985960216
2,25,19230.288732876714,30989.701843282626,0.8747952050024037
3,35,19328.614726027397,31019.293631056902,0.8745559769715993
4,45,18030.355787671237,30003.409038081692,0.8826380352555349
5,55,18151.426678082193,30268.889813026537,0.8805519262460242
6,65,18340.90660958904,29324.635719835518,0.8878881762166397
7,75,18933.072020547945,30258.391546443112,0.8806347690767092
8,85,18803.806643835618,30645.247448244805,0.8775630702271586
9,95,18489.805753424655,29809.648506069363,0.8841489761905084
10,105,18941.31243150685,30787.74838673479,0.8764217550699841
11,115,18729.984897260274,30188.59979920695,0.8811847719093435
