,K,MAE,RMSE,r2
0,5,30793.761609589037,48596.82765130247,0.6921054471506676
1,15,26020.89369863014,39003.346763812435,0.8016693139657124
2,25,19704.498561643835,31366.905944990096,0.8717286902817832
3,35,19810.55948630137,30454.522817844187,0.8790823317014156
4,45,19847.230547945204,32362.26336584334,0.86345872888967
5,55,19165.27578767123,31934.20750878744,0.8670469049596945
6,65,19425.739178082193,31695.700491590567,0.8690254622142036
7,75,18819.95869863014,30119.28642042831,0.8817297478657721
8,85,18647.069623287673,29873.474070144257,0.883652346860636
9,95,18543.01787671233,29633.22608165525,0.8855162004474225
10,105,18733.668767123287,29594.24054803862,0.8858172325455301
11,115,18367.988493150686,29343.562716526045,0.8877434088667708
