,K,MAE,RMSE,r2
0,5,22587.584760273974,35813.21034234442,0.8327859858394004
1,15,21372.11373287671,34897.329403982636,0.8412292298091617
2,25,18913.336335616437,32040.18762148434,0.866162977285371
3,35,18598.63160958904,32003.94960390934,0.8664655501496351
4,45,18686.59349315068,31785.163048307822,0.8682850555872238
5,55,19218.26640410959,31573.39684065576,0.870034290442113
6,65,18848.170308219178,32725.195377130833,0.8603790264528891
7,75,19533.1279109589,32480.157553928126,0.8624620901077855
8,85,19087.28297945206,32640.465937105506,0.8611010812560931
9,95,19458.290342465756,32200.233587738352,0.8648225622877191
10,105,19150.322157534247,32554.46264713277,0.8618320773306183
11,115,18873.78839041096,31827.54850575183,0.8679335380890572
