Model,feature_selection,NOF,Scaler,Encoder,Imputer,R2,MAE
SVR,VarianceThreshold,100,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,105,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,110,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,115,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,120,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,125,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,130,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,135,Nomalizer,LabelEncoder,SimpleImputer,-0.0247896497683344,59559.69854087013
SVR,VarianceThreshold,140,Nomalizer,LabelEncoder,SimpleImputer,-0.0247898685905063,59559.63640469711
SVR,VarianceThreshold,145,Nomalizer,LabelEncoder,SimpleImputer,-0.0247898685905063,59559.63640469711
SVR,VarianceThreshold,150,Nomalizer,LabelEncoder,SimpleImputer,-0.0247898685905063,59559.63640469711
SVR,VarianceThreshold,155,Nomalizer,LabelEncoder,SimpleImputer,-0.0247898685905063,59559.63640469711
SVR,VarianceThreshold,160,Nomalizer,LabelEncoder,SimpleImputer,-0.0247898685905063,59559.63640469711
SVR,VarianceThreshold,165,Nomalizer,LabelEncoder,SimpleImputer,-0.0247898685905063,59559.63640469711
SVR,VarianceThreshold,170,Nomalizer,LabelEncoder,SimpleImputer,-0.0247844955533349,59559.3323699454
SVR,VarianceThreshold,175,Nomalizer,LabelEncoder,SimpleImputer,-0.0247859495124926,59559.398381285726
SVR,VarianceThreshold,180,Nomalizer,LabelEncoder,SimpleImputer,-0.0247859495124926,59559.398381285726
SVR,VarianceThreshold,185,Nomalizer,LabelEncoder,SimpleImputer,-0.0247782904517548,59559.02812668549
SVR,VarianceThreshold,190,Nomalizer,LabelEncoder,SimpleImputer,-0.0247782904517548,59559.02812668549
SVR,VarianceThreshold,195,Nomalizer,LabelEncoder,SimpleImputer,-0.0247782904517548,59559.02812668549
SVR,VarianceThreshold,200,Nomalizer,LabelEncoder,SimpleImputer,-0.0247782904517548,59559.02812668549
SVR,VarianceThreshold,205,Nomalizer,LabelEncoder,SimpleImputer,-0.0247544867122258,59558.47365991016
SVR,VarianceThreshold,210,Nomalizer,LabelEncoder,SimpleImputer,-0.0247544867122258,59558.47365991016
SVR,VarianceThreshold,215,Nomalizer,LabelEncoder,SimpleImputer,-0.0247544867122258,59558.47365991016
SVR,VarianceThreshold,220,Nomalizer,LabelEncoder,SimpleImputer,-0.0247544867122258,59558.47365991016
SVR,VarianceThreshold,225,Nomalizer,LabelEncoder,SimpleImputer,-0.0247544867122258,59558.47365991016
SVR,VarianceThreshold,230,Nomalizer,LabelEncoder,SimpleImputer,-0.0247544867122258,59558.47365991016
