,K,MAE,RMSE,r2
0,5,59381.18732067,88496.40006645644,-0.021027347883074476
1,10,59420.01204365122,88538.93807289712,-0.022009148415487623
2,15,59444.47842266849,88555.26524079178,-0.022386113711691413
3,20,59436.35611218004,88566.43056303848,-0.022643941183055016
4,25,59437.761119219394,88562.99921089545,-0.02256470160027435
5,30,59453.3358277669,88576.17013745235,-0.022868872104476967
6,35,59463.28182408688,88585.58949608651,-0.023086431319713885
7,40,59472.19446702796,88591.89916112063,-0.023232178785312474
8,45,59480.1910251378,88597.66045608382,-0.023365268472736345
9,50,59484.6303825903,88600.63234450803,-0.023433924425682928
10,55,59488.38274085606,88604.60985158366,-0.023525815576806552
11,60,59492.83182154757,88607.9670278465,-0.0236033786217813
12,65,59495.26649241685,88609.38316073612,-0.023636097349959417
13,70,59498.84475786058,88611.54571624438,-0.02368606264290407
14,75,59501.288408992375,88614.67155964018,-0.023758286611724966
15,80,59504.6748005139,88617.11528696398,-0.023814751766982445
16,85,59506.61804784799,88618.63157061825,-0.02384978804297
17,90,59507.01189766225,88619.02953814647,-0.023858983849249116
18,95,59509.422636826355,88620.82377873827,-0.023900443746875055
19,100,59511.27356454776,88621.83106294824,-0.023923719644500796
20,105,59512.636916802076,88622.42798675135,-0.023937513232196617
21,110,59513.62746247857,88623.20306273545,-0.023955423661062403
22,115,59514.430519090776,88623.83446913444,-0.023970014293934527
