,K,MAE,RMSE,r2
0,5,59433.9185034536,88526.15275239364,-0.021714006608603675
1,10,59482.61063377021,88573.33721465094,-0.022803444524856387
2,15,59468.43692641639,88578.90505411832,-0.022932038175191183
3,20,59472.803150815045,88588.82819404475,-0.023161240970480668
4,25,59481.39723331217,88594.04391143999,-0.02328172291130226
5,30,59491.33864214251,88602.14960266848,-0.02346897669851966
6,35,59492.065170150774,88600.54748502106,-0.023431963987390336
7,40,59491.02185273875,88603.21401949508,-0.023493567617563826
8,45,59495.11529254148,88609.21992430082,-0.02363232586329067
9,50,59495.84801410613,88609.2330710474,-0.023632629611270772
10,55,59499.88177596387,88612.095897031,-0.02369877462410508
11,60,59502.33576971558,88613.92140562886,-0.023740953745254423
12,65,59506.70113696153,88617.05261059146,-0.023813303537216113
13,70,59506.79918277774,88616.62798454035,-0.023803491954776934
14,75,59508.855733680604,88617.73010088426,-0.023828958001131717
15,80,59510.826819781076,88619.53922766315,-0.023870761267576812
16,85,59512.42496619445,88620.92410019609,-0.023902761920842286
17,90,59515.73977745225,88623.62349273065,-0.023965139008288228
18,95,59517.010509237494,88624.88727816168,-0.023994342992516682
19,100,59518.243655014754,88625.8576666592,-0.024016767343114642
20,105,59519.34663707783,88626.5585436049,-0.024032963803178875
21,110,59520.557800011964,88627.70406101694,-0.024059435668740248
22,115,59521.451370529154,88628.54059795587,-0.0240787674927474
