,K,MAE,RMSE,r2
0,5,59497.118878817935,88610.2447007304,-0.023656002865455106
1,10,59458.79031963003,88608.72348151327,-0.023620855872647395
2,15,59450.97936040176,88590.00994699654,-0.02318853858590253
3,20,59474.23719611134,88601.27161219384,-0.023448692956772987
4,25,59473.86185820145,88605.32284839578,-0.023542288163979297
5,30,59486.87182114666,88609.58757437665,-0.023640820222755154
6,35,59492.12382920974,88615.10549497922,-0.023768313077525027
7,40,59499.01132371812,88619.61973583253,-0.023872621579621667
8,45,59504.00847805904,88624.08374146739,-0.023975774544657602
9,50,59508.09062628698,88626.57000080102,-0.02403322856686696
10,55,59509.47918570427,88627.34070413542,-0.024051038784624
11,60,59511.38825164869,88628.41469933877,-0.02407585804601209
12,65,59514.080849599486,88629.94305520206,-0.0241111777759786
13,70,59515.40347615392,88630.76292643613,-0.02413012494326172
14,75,59516.628272080045,88631.55616059685,-0.024148456696450715
15,80,59517.685246726345,88632.14685297932,-0.024162107787190523
16,85,59518.123333895375,88632.41066799976,-0.024168204666462856
17,90,59518.14924547487,88632.35708111592,-0.024166966248921895
18,95,59518.76236352596,88632.7429214423,-0.02417588321310249
19,100,59520.77745395513,88634.00109731541,-0.024204960560584743
20,105,59521.10925462742,88634.15993046641,-0.024208631338049402
21,110,59521.21085379559,88634.2192012132,-0.024210001140184234
22,115,59521.30723850346,88634.27615401348,-0.024211317373280528
