Model,feature_selection,NOF,Scaler,Encoder,Imputer,R2,MAE
StackingRG,VarianceThreshold,100,,LabelEncoder,SimpleImputer,0.8182969738610213,19205.697520965
StackingRG,VarianceThreshold,110,,LabelEncoder,SimpleImputer,0.8185564467537663,19160.06086065442
StackingRG,VarianceThreshold,120,,LabelEncoder,SimpleImputer,0.8176406455776174,19212.89127098747
StackingRG,VarianceThreshold,130,,LabelEncoder,SimpleImputer,0.8203481393563423,19128.09813562271
StackingRG,VarianceThreshold,140,,LabelEncoder,SimpleImputer,0.8190741393097316,19144.26801206102
StackingRG,VarianceThreshold,150,,LabelEncoder,SimpleImputer,0.8173031962434089,19178.17323109626
StackingRG,VarianceThreshold,160,,LabelEncoder,SimpleImputer,0.8203111002440016,19142.41428294174
StackingRG,VarianceThreshold,170,,LabelEncoder,SimpleImputer,0.8165493681912538,19239.56240399954
StackingRG,VarianceThreshold,180,,LabelEncoder,SimpleImputer,0.8197727860579658,19149.77345142955
StackingRG,VarianceThreshold,190,,LabelEncoder,SimpleImputer,0.8169049051068556,19190.82920668215
StackingRG,VarianceThreshold,200,,LabelEncoder,SimpleImputer,0.8192139442173241,19145.45808335316
StackingRG,VarianceThreshold,210,,LabelEncoder,SimpleImputer,0.8210496385203946,19126.365205716706
StackingRG,VarianceThreshold,220,,LabelEncoder,SimpleImputer,0.8187666344345831,19190.763405497422
StackingRG,VarianceThreshold,230,,LabelEncoder,SimpleImputer,0.819645091184436,19150.34917482373
StackingRG,VarianceThreshold,240,,LabelEncoder,SimpleImputer,0.8185759365303221,19165.35953523281
StackingRG,VarianceThreshold,250,,LabelEncoder,SimpleImputer,0.8208368453175553,19083.46819681
StackingRG,VarianceThreshold,260,,LabelEncoder,SimpleImputer,0.8176004295711734,19148.403889169604
StackingRG,VarianceThreshold,270,,LabelEncoder,SimpleImputer,0.820540120042994,19130.08920483162
StackingRG,VarianceThreshold,280,,LabelEncoder,SimpleImputer,0.8217079382680849,19136.21162211764
StackingRG,VarianceThreshold,290,,LabelEncoder,SimpleImputer,0.8162463438377352,19186.84886160784
StackingRG,VarianceThreshold,300,,LabelEncoder,SimpleImputer,0.8195509047416417,19162.881332243072
StackingRG,VarianceThreshold,310,,LabelEncoder,SimpleImputer,0.8179682869909637,19188.16644243411
StackingRG,VarianceThreshold,320,,LabelEncoder,SimpleImputer,0.8190189359567305,19181.54564583751
StackingRG,VarianceThreshold,330,,LabelEncoder,SimpleImputer,0.8170570589404864,19186.21081330064
StackingRG,VarianceThreshold,340,,LabelEncoder,SimpleImputer,0.8172638843500281,19197.6428869396
StackingRG,VarianceThreshold,350,,LabelEncoder,SimpleImputer,0.8168947960555546,19200.83044618316
StackingRG,VarianceThreshold,360,,LabelEncoder,SimpleImputer,0.817808675196438,19181.191372008147
StackingRG,VarianceThreshold,370,,LabelEncoder,SimpleImputer,0.8186895073108306,19167.31152370281
StackingRG,VarianceThreshold,380,,LabelEncoder,SimpleImputer,0.8186962985007419,19143.877150371543
StackingRG,VarianceThreshold,390,,LabelEncoder,SimpleImputer,0.8208415981730879,19134.21047827144
StackingRG,VarianceThreshold,400,,LabelEncoder,SimpleImputer,0.8185225873021582,19180.037656275425
StackingRG,VarianceThreshold,410,,LabelEncoder,SimpleImputer,0.812609721796783,18705.426991199023
StackingRG,VarianceThreshold,420,,LabelEncoder,SimpleImputer,0.8237517692573824,18645.352307465924
StackingRG,VarianceThreshold,430,,LabelEncoder,SimpleImputer,0.8241433936086335,18599.395893193192
StackingRG,VarianceThreshold,440,,LabelEncoder,SimpleImputer,0.8089505606106543,18745.395836171367
StackingRG,VarianceThreshold,450,,LabelEncoder,SimpleImputer,0.8054742300942511,18786.754906349684
StackingRG,VarianceThreshold,460,,LabelEncoder,SimpleImputer,0.82527717299206,18593.67486345192
StackingRG,VarianceThreshold,470,,LabelEncoder,SimpleImputer,0.8195990823508739,18657.92534067289
StackingRG,VarianceThreshold,480,,LabelEncoder,SimpleImputer,0.8087809488206212,18758.60199667214
StackingRG,VarianceThreshold,490,,LabelEncoder,SimpleImputer,0.8098965910370832,18750.699038373787
StackingRG,UFS,5,,LabelEncoder,SimpleImputer,0.8789950018274224,20098.59706744825
StackingRG,UFS,15,,LabelEncoder,SimpleImputer,0.879771411692247,19827.90295145718
StackingRG,UFS,25,,LabelEncoder,SimpleImputer,0.8576549775349134,21133.188083542515
StackingRG,UFS,35,,LabelEncoder,SimpleImputer,0.8024806644858442,18894.460693043377
StackingRG,UFS,45,,LabelEncoder,SimpleImputer,0.8621429671652595,18274.74418728727
StackingRG,UFS,55,,LabelEncoder,SimpleImputer,0.8023004949664886,18987.98453679371
StackingRG,UFS,65,,LabelEncoder,SimpleImputer,0.8546522818483873,18086.516593453376
StackingRG,UFS,75,,LabelEncoder,SimpleImputer,0.8453292736339835,18513.824878679672
StackingRG,UFS,85,,LabelEncoder,SimpleImputer,0.8452772173914449,18469.647256956123
StackingRG,UFS,95,,LabelEncoder,SimpleImputer,0.8449907142000875,18520.056159193897
StackingRG,UFS,105,,LabelEncoder,SimpleImputer,0.8455466169377823,18519.85492100691
StackingRG,UFS,115,,LabelEncoder,SimpleImputer,0.8452610581185099,18459.19835996549
StackingRG,VarianceThreshold,100,Normalizer,LabelEncoder,SimpleImputer,0.7748442787288333,24579.55427515168
StackingRG,VarianceThreshold,110,Normalizer,LabelEncoder,SimpleImputer,0.7748838263730594,24510.513084576603
StackingRG,VarianceThreshold,120,Normalizer,LabelEncoder,SimpleImputer,0.7727067097749871,24588.7320475967
StackingRG,VarianceThreshold,130,Normalizer,LabelEncoder,SimpleImputer,0.7759400864421284,24531.251533052648
StackingRG,VarianceThreshold,140,Normalizer,LabelEncoder,SimpleImputer,0.7801277468644358,24550.09832788294
StackingRG,VarianceThreshold,150,Normalizer,LabelEncoder,SimpleImputer,0.7779363942567072,24530.592985101222
StackingRG,VarianceThreshold,160,Normalizer,LabelEncoder,SimpleImputer,0.7764279242903341,24595.396270942794
StackingRG,VarianceThreshold,170,Normalizer,LabelEncoder,SimpleImputer,0.7811874093023323,25042.39302026895
StackingRG,VarianceThreshold,180,Normalizer,LabelEncoder,SimpleImputer,0.7734562175247531,26225.57368183292
StackingRG,VarianceThreshold,190,Normalizer,LabelEncoder,SimpleImputer,0.7355755531022132,27603.3790794636
StackingRG,VarianceThreshold,200,Normalizer,LabelEncoder,SimpleImputer,0.7300467928647847,27620.534472483967
StackingRG,VarianceThreshold,210,Normalizer,LabelEncoder,SimpleImputer,0.7073758804133503,27753.1956190164
StackingRG,VarianceThreshold,220,Normalizer,LabelEncoder,SimpleImputer,0.7089797336969456,27742.4038267276
StackingRG,VarianceThreshold,230,Normalizer,LabelEncoder,SimpleImputer,0.7124430334367917,27685.39642043532
StackingRG,VarianceThreshold,240,Normalizer,LabelEncoder,SimpleImputer,0.7040260034986239,27795.09927096057
StackingRG,VarianceThreshold,250,Normalizer,LabelEncoder,SimpleImputer,0.7103849584930638,27702.464412019963
StackingRG,VarianceThreshold,260,Normalizer,LabelEncoder,SimpleImputer,0.7061158269557806,27774.45657836132
StackingRG,VarianceThreshold,270,Normalizer,LabelEncoder,SimpleImputer,0.7778544795130913,27607.2197603284
StackingRG,VarianceThreshold,280,Normalizer,LabelEncoder,SimpleImputer,0.7755729497227587,27664.67408411644
StackingRG,VarianceThreshold,290,Normalizer,LabelEncoder,SimpleImputer,0.7746065409966396,27666.817129417468
StackingRG,VarianceThreshold,300,Normalizer,LabelEncoder,SimpleImputer,0.7779859189877993,27599.679602803764
StackingRG,VarianceThreshold,310,Normalizer,LabelEncoder,SimpleImputer,0.776328299589903,27634.851061319187
StackingRG,VarianceThreshold,320,Normalizer,LabelEncoder,SimpleImputer,0.7769091056890477,27620.66019209888
StackingRG,VarianceThreshold,330,Normalizer,LabelEncoder,SimpleImputer,0.7763858011538133,27645.60765192452
StackingRG,VarianceThreshold,340,Normalizer,LabelEncoder,SimpleImputer,0.7734836863918139,27715.76888549928
StackingRG,VarianceThreshold,350,Normalizer,LabelEncoder,SimpleImputer,0.7756948228495081,27645.499186621324
StackingRG,VarianceThreshold,360,Normalizer,LabelEncoder,SimpleImputer,0.7762639280270639,27664.78254941964
StackingRG,VarianceThreshold,370,Normalizer,LabelEncoder,SimpleImputer,0.7767056892576748,27639.49773609296
StackingRG,VarianceThreshold,380,Normalizer,LabelEncoder,SimpleImputer,0.7763372365243292,27617.015531761725
