,K,MAE,RMSE,r2
0,5,20886.644122846792,31100.39086244329,0.8738991946795635
1,15,19229.6707700272,29755.590917001682,0.8845687697101677
2,25,21538.571872640103,44609.01721120824,0.7405632612228058
3,35,19584.23580595874,38631.76474157923,0.8054302767918362
4,45,18501.214411300185,33379.246249229305,0.8547422821310124
5,55,19239.90966747879,39692.12214644191,0.7946026651367385
6,65,18137.7426518974,38580.83482479745,0.8059429578909445
7,75,18634.608620251973,37998.64901027518,0.811755421138002
8,85,16858.34945068328,30422.767480958482,0.879334365162563
9,95,17728.409760594906,34147.75443794693,0.8479765916524238
10,105,17977.52644650667,35367.14939400067,0.8369254158857644
11,115,18271.888803007765,35133.95024975144,0.8390688444260197
