,K,MAE,RMSE,r2
0,5,20139.792024465878,31981.400071064047,0.8666536568487688
1,15,19694.41158907904,31406.696740277646,0.8714030442132273
2,25,18469.819471072296,28198.18565126829,0.896335872485013
3,35,18377.964652401148,30189.17943726487,0.8811802092274246
4,45,18854.907794981063,33928.54187306492,0.8499221646461801
5,55,16813.53588414829,25724.623025611723,0.9137251517165248
6,65,17626.20805442233,29805.67377144637,0.8841798686296455
7,75,18388.817270398747,33275.15296578194,0.8556468427824226
8,85,17844.45239266372,31656.397315555183,0.8693500818698829
9,95,17995.166812796186,38913.97870268727,0.8025771398021774
10,105,18150.714634033837,36319.651560506456,0.8280233390542658
11,115,17339.26016998985,31305.64116061909,0.8722292713497447
