,K,MAE,RMSE,r2
0,5,20725.433023663398,30432.528705505945,0.8792569209711514
1,15,20245.088758069873,31288.0598478959,0.8723727436613788
2,25,18418.15759193445,27589.377155258033,0.9007638382964924
3,35,18173.356426621114,32300.704802084896,0.8639776845821993
4,45,17999.787065158092,33458.812991897146,0.8540489496029808
5,55,18369.878453266134,33457.19033903854,0.8540631056429142
6,65,17735.28629615622,29829.71391643243,0.8839929608857514
7,75,18840.38746807473,37759.579894436814,0.814116657454752
8,85,18453.243629782035,41040.67439701969,0.7804086932594917
9,95,17952.1702698384,38631.810790786454,0.8054298129358926
10,105,17992.809194192563,36826.66016901361,0.8231883674082536
11,115,17641.70138546219,36594.38969847923,0.8254116811682175
