,K,MAE,RMSE,r2
0,5,27438.542237442925,42334.25593963048,0.7663477174826215
1,6,26440.52853881279,38600.60208192534,0.805744053011592
2,7,25629.14497716895,37845.189876013595,0.8132728181221953
3,8,26165.908675799088,39404.82401829097,0.7975653037471134
4,9,27222.376141552515,41741.143192491465,0.7728489000398036
5,10,26518.465182648404,41128.020149530494,0.7794729981841931
6,11,24435.588470319635,38245.78622071831,0.8092988323925137
7,12,24376.375,35638.31099325233,0.8344152287471567
8,13,25219.020547945205,36824.715931350474,0.8232070362074009
9,14,24744.921232876713,36374.791131773345,0.8275007614877756
10,15,24904.912671232876,38226.04257428785,0.8094956731407214
11,16,24612.688356164384,36758.11321052735,0.8238459681764376
12,17,24630.585616438355,39269.58195814934,0.7989524792670676
13,18,26229.722602739726,41175.53014825342,0.77896321001301
14,19,26954.18493150685,41368.58260872367,0.7768856785450345
15,20,25780.640410958906,41051.82425805683,0.7802893606617023
16,21,27634.66095890411,47516.694249069864,0.7056401290672634
17,22,27935.821917808218,44058.79302525735,0.7469237695492565
18,23,27244.092465753423,43402.58582170276,0.7544062136177259
19,24,25386.760273972603,38713.97709616954,0.8046012669971735
20,25,25465.164383561645,40618.12878363012,0.7849071419755704
21,26,27355.448630136987,41456.536343657725,0.7759359433758323
22,27,28581.705479452055,43912.6679528001,0.7485996873345451
23,28,28495.986301369863,44364.073727572395,0.7434045196329074
24,29,27446.95205479452,41038.003583464415,0.7804372731190476
25,30,29128.787671232876,43588.74674384009,0.7522949101019534
26,31,28141.33904109589,42474.42566427796,0.7647978994922214
27,32,28285.52397260274,42173.70262358851,0.7681166165636735
28,33,27247.51712328767,41274.62014233245,0.7778980682337133
29,34,26755.705479452055,40912.784220308626,0.7817751334892218
30,35,26214.561643835616,40754.26002331468,0.7834629629582551
31,36,27856.33904109589,44307.20376178524,0.7440619535387039
32,37,26530.462328767124,40390.91295890834,0.787306849071757
33,38,27296.51712328767,41524.69244576958,0.7751985983203586
34,39,27696.013698630137,43728.09671334019,0.7507085891106503
35,40,26748.705479452055,40576.37854468249,0.7853490905955672
36,41,27379.75684931507,41061.46649486479,0.7801861374384476
37,42,27177.530821917808,41490.46016225932,0.7755690908082874
38,43,28074.044520547945,42888.82531308477,0.7601860355022805
39,44,25536.13698630137,37828.33869139226,0.8134390677139849
40,45,25472.11301369863,40136.93153226019,0.7899733037017573
41,46,26014.133561643837,40545.59047782145,0.785674707595249
42,47,27294.33904109589,43594.752133549475,0.7522266508294213
43,48,26581.554794520547,42665.259823195986,0.7626796636008556
44,49,26596.52397260274,41332.380507802605,0.7772760072653708
