,K,MAE,RMSE,r2
0,5,25203.03310502283,39285.14705052283,0.7987930712340365
1,6,26063.083333333336,40096.53521180163,0.790395858981226
2,7,24612.217465753423,38624.42027771639,0.805504250863307
3,8,26461.98287671233,45366.17239404349,0.7316816075230756
4,9,25749.712328767124,41181.598810085,0.7788980501291187
5,10,24860.91780821918,41231.08105767943,0.7783663954745467
6,11,25923.97602739726,41849.04182062947,0.7716730352792844
7,12,24605.16095890411,38427.859834263225,0.8074787992643511
8,13,24871.061643835616,39147.66416525883,0.8001989005161352
9,14,25864.602739726026,43708.175202050596,0.7509356801927023
10,15,23509.135273972603,35890.13359695141,0.8320668958772491
11,16,25079.960616438355,41476.08576242567,0.7757245723708344
12,17,24873.078767123287,39420.70875469647,0.7974020613013165
13,18,24102.91780821918,36489.804138157495,0.8264081904634681
14,19,24016.16780821918,37274.254607497125,0.8188642804731465
15,20,23953.852739726026,36024.87893551473,0.8308035581195417
16,21,25491.174657534248,37820.30674380108,0.8135182828528286
17,22,25574.657534246577,37114.78740755791,0.8204108395002172
18,23,25465.489726027397,37295.417143681785,0.8186585417165297
19,24,26172.321917808218,38619.257152979335,0.8055562458803311
20,25,26957.195205479453,40013.54456883729,0.7912626261628734
21,26,26034.678082191782,38380.65641611027,0.8079514811832604
22,27,26486.328767123287,40426.099526223275,0.7869361121339542
23,28,27880.47602739726,43921.935249387294,0.7484935654700368
24,29,26563.95890410959,41377.782122412784,0.776786435527918
25,30,27155.578767123287,41583.25603240864,0.7745640621338095
26,31,27732.236301369863,42804.824971400034,0.7611244957071887
27,32,28332.85616438356,44617.91407146955,0.7404597663364443
28,33,27651.578767123287,43452.17060340323,0.7538447415211479
29,34,25979.883561643837,40737.82141436924,0.7836376121743014
30,35,26208.79794520548,41370.88360729838,0.7768608577761789
31,36,26052.24315068493,40709.16631848275,0.7839418849236094
32,37,27585.753424657534,44005.245869567596,0.7475385515903321
33,38,25804.109589041094,39843.49958325819,0.7930329928401744
34,39,26353.421232876713,40890.045007672124,0.7820176436351839
35,40,26816.87328767123,42915.19048295552,0.7598911018331054
36,41,26879.325342465752,40526.69290004285,0.7858744474419568
37,42,27274.719178082192,43084.652034312734,0.7579910957139658
38,43,27699.678082191782,43404.02349539776,0.754389943178191
39,44,26754.380136986303,41836.4950871205,0.7718099238680844
40,45,27201.41780821918,43813.68502589055,0.7497317658081821
41,46,27238.77397260274,41674.31038676379,0.7735757125185903
42,47,26508.616438356163,40007.69148465713,0.7913236888893038
43,48,27567.301369863013,41825.798925792464,0.7719265897529065
44,49,26550.19178082192,40399.33707614248,0.7872181192681883
45,50,27861.65068493151,42740.61742747982,0.7618405881655319
46,51,26501.178082191782,40788.9529642256,0.7830941424161493
47,52,27114.681506849316,41251.25287458071,0.7781494792062252
48,53,28442.551369863013,44544.508471287794,0.7413130574434481
49,54,26880.325342465752,41960.13181797106,0.7704592197745426
50,55,26736.907534246577,41376.011299936414,0.7768055406185542
51,56,27127.87328767123,42845.893694449034,0.7606659016984306
52,57,28190.609589041094,44740.256838626905,0.7390344911132058
53,58,26055.219178082192,39007.70597174464,0.8016249786414121
54,59,27066.681506849316,43553.949191801825,0.7526902456345848
55,60,27864.445205479453,43464.223632618836,0.7537081624747366
56,61,26997.986301369863,42624.463712450066,0.7631332934612896
57,62,27522.335616438355,41568.11805288885,0.7747281677746838
58,63,27274.955479452055,42933.56390740345,0.7596854605656895
59,64,27319.907534246577,44187.394014559686,0.745444230524587
60,65,25998.14383561644,38954.423269335864,0.8021665505145372
61,66,25718.544520547945,38794.857960755646,0.8037839638704054
62,67,26856.472602739726,43120.17641540779,0.7575918463084826
63,68,29426.369863013697,45826.85233983142,0.7262045526292076
64,69,27326.66095890411,41290.07396635734,0.777731720647058
