,K,MAE,RMSE,r2
0,5,26277.740867579912,37701.00872453432,0.8146928800087294
1,6,26090.328767123287,38738.76461478549,0.8043509697835795
2,7,26793.58675799087,38837.53755386787,0.8033519980108846
3,8,26569.810502283108,37972.50899419615,0.8120143263316193
4,9,25123.20205479452,38777.34403468994,0.8039610872122039
5,10,24263.340753424658,37253.719029965876,0.8190638124017163
6,11,25025.530821917808,39077.719794257355,0.8009122241909836
7,12,26489.904109589042,40504.735959945865,0.7861064065766001
8,13,25698.89897260274,38186.15553857084,0.8098930299144772
9,14,25676.44178082192,40082.69951599725,0.7905404858812505
10,15,25944.270547945205,40725.063241329335,0.7837731106590715
11,16,26205.657534246577,40139.82793823311,0.7899429902471093
12,17,26324.287671232876,41090.096520054525,0.7798795010249546
13,18,26799.75,39700.58266846663,0.7945150934077735
14,19,27364.18493150685,41724.01118151684,0.7730353231334387
15,20,26358.945205479453,41033.48812809976,0.7804855879035202
16,21,27110.020547945205,40845.56715682882,0.7824916031863477
17,22,25685.68493150685,39418.88081836676,0.797420849778639
18,23,25847.94178082192,40510.17929665654,0.7860489133943787
19,24,26464.69178082192,40918.50160806619,0.781714137231808
20,25,26672.705479452055,41033.41045015919,0.7804864190008554
21,26,26156.75,40604.754201662116,0.7850487685605189
22,27,26912.647260273974,41155.340360580245,0.7791799208476761
23,28,25388.13698630137,38680.128425152645,0.8049428023563847
24,29,26395.79794520548,41454.58562068709,0.7759570293930065
25,30,27376.537671232876,41157.45103878852,0.779157270466144
26,31,25486.41780821918,38498.08359213642,0.806774522982036
27,32,25493.880136986303,39988.99014656135,0.7915187320920719
28,33,25219.43493150685,39618.30716257425,0.7953659049132289
29,34,26067.36301369863,40738.32167409352,0.7836322982891059
30,35,25697.654109589042,38719.59794227781,0.8045445233597913
31,36,25116.897260273974,37186.921772090274,0.8197120808776281
32,37,27016.147260273974,41832.47391872681,0.7718537873237721
33,38,25038.102739726026,38400.3802856455,0.8077540424942429
34,39,25313.02397260274,40249.0891459517,0.7887978772583581
35,40,26798.325342465752,41187.205211990986,0.7788378450469111
