,K,MAE,RMSE,r2
0,5,27743.717452109107,44231.641539510376,0.7449341709291908
1,6,27298.732159556355,42771.95673518894,0.761491202128707
2,7,26440.36225084876,42928.17752481324,0.7597457558095582
3,8,26265.708668501113,42679.19701845858,0.7625245903578861
4,9,26215.98110522346,42938.131566380136,0.7596343241980723
5,10,26627.682631512493,43116.15903184015,0.7576370131537511
6,11,26528.965963385817,42872.60623177728,0.7603673800231914
7,12,26226.131625417187,41942.16980541378,0.7706556982755391
8,13,25148.43650665281,41730.83243105437,0.7729611064315645
9,14,25271.478563836896,41926.298231905654,0.7708292403804657
10,15,25029.38747658927,41713.34409812875,0.7731513590362685
11,16,25260.789743826506,41765.72456123792,0.7725812825938608
12,17,25022.386296412376,41711.36193308535,0.7731729176416765
13,18,24873.593350506428,41214.94425465962,0.778539845108147
14,19,24988.350250511405,41434.1301039494,0.7761780801626964
15,20,24850.742269240596,41317.046979972554,0.777441229351406
16,21,24395.566367997882,40917.30166998512,0.7817269395421786
17,22,24398.532838279316,40860.516959321634,0.7823323544416395
18,23,24378.60728996403,41363.1400511862,0.7769443816755909
19,24,23687.161908966664,40271.41613807815,0.7885634960027331
20,25,23849.86893201532,40223.618602049915,0.7890650997441073
21,26,23095.355421960758,39413.16511371287,0.7974795931331768
22,27,23171.07601069504,40320.244225598086,0.7880504621969574
23,28,22836.889920847094,39667.1167795572,0.7948613773259512
24,29,22994.394127793865,39564.33427960161,0.7959230801003832
25,30,22633.272137411954,39613.93122822201,0.7954111070421103
26,31,22843.948816040105,40699.64162520715,0.7840429750082618
27,32,22597.801393198002,39855.49997794105,0.7929083019959092
28,33,22564.406975067544,39194.541692235725,0.7997201087712582
29,34,22401.30223728941,39223.19528858753,0.7994271681424536
30,35,22755.338410145123,39743.97028777586,0.7940657109530055
31,36,22721.166408007528,39626.5223462425,0.7952810309702454
32,37,22582.05390704249,39206.348769667886,0.7995994248056185
33,38,23048.35690521697,40732.64249755474,0.7836926201027833
34,39,22487.60287888489,38538.606258273525,0.8063675348072448
35,40,22557.72558193055,38296.48720649351,0.8087928866724219
36,41,22972.356393062204,39085.17261854615,0.8008362777074416
37,42,23089.383912393434,39371.246928456014,0.797910148430322
38,43,23176.219934336477,38923.42821383667,0.8024812474731382
39,44,23256.13230560582,39489.06032856946,0.796698883005491
40,45,23304.815476883196,40569.38070056216,0.7854231220459758
41,46,23228.92518786435,39783.540221168056,0.7936554417925182
42,47,23032.345257450477,38720.9867135298,0.8045305021493757
43,48,22843.14962422268,38365.37238178916,0.8081044067442434
44,49,23086.566225142367,39134.32521408767,0.8003350354868922
45,50,23302.265576488786,40103.0421003188,0.7903278241030998
46,51,23351.91610377767,39912.46704770597,0.7923158699115609
47,52,23228.794389777922,39192.71001557262,0.7997388276752213
48,53,23509.952855680418,41127.23291840008,0.7794814403148282
49,54,23140.832052618887,39629.57378099246,0.795249501045789
50,55,23394.58830714935,40058.69853670467,0.7907912538385948
51,56,22907.586510012934,38943.26954880871,0.802279824588147
52,57,23318.987386442706,40525.616518110684,0.785885821565959
53,58,23511.35799081344,40960.60931658118,0.7812646463440474
54,59,23372.865701117025,39820.023397943114,0.7932768150164211
55,60,23272.291831723458,39939.95024453265,0.7920297543485131
56,61,23128.978166601206,40549.70014819684,0.7856312576943625
57,62,23479.853669850545,40536.79757345239,0.7857676566648051
58,63,23149.665717790023,39388.089401900084,0.7977372089757557
59,64,23495.31016413499,41288.578276549,0.7777478232279926
60,65,23518.482828004515,39620.482711550045,0.7953434302669757
61,66,23337.34667158934,39602.95678833092,0.795524447850886
62,67,23444.889091435507,39770.20010905793,0.7937938004210979
63,68,23376.016740000334,41631.529807211475,0.7740403436212743
64,69,23355.935010621222,41396.32206519399,0.7765863622697604
65,70,23470.978250095264,41596.958620757454,0.774415465554033
66,71,23464.836664308834,41491.54508379057,0.775557353502498
67,72,23781.59648017155,42125.744869219634,0.7686436883057466
68,73,23539.22977778898,41700.934566771204,0.773286311850373
69,74,22871.529788761876,41304.15947164038,0.7775800476308115
70,75,22871.529788761876,41304.15947164038,0.7775800476308115
71,76,22871.529788761876,41304.15947164038,0.7775800476308115
72,77,22871.529788761876,41304.15947164038,0.7775800476308115
73,78,22871.529788761876,41304.15947164038,0.7775800476308115
74,79,22871.529788761876,41304.15947164038,0.7775800476308115
75,80,22871.529788761876,41304.15947164038,0.7775800476308115
76,81,22871.529788761876,41304.15947164038,0.7775800476308115
77,82,22871.529788761876,41304.15947164038,0.7775800476308115
78,83,22871.529788761876,41304.15947164038,0.7775800476308115
79,84,22871.529788761876,41304.15947164038,0.7775800476308115
80,85,22871.529788761876,41304.15947164038,0.7775800476308115
81,86,22871.529788761876,41304.15947164038,0.7775800476308115
82,87,22871.529788761876,41304.15947164038,0.7775800476308115
83,88,22871.529788761876,41304.15947164038,0.7775800476308115
84,89,22871.529788761876,41304.15947164038,0.7775800476308115
85,90,22871.529788761876,41304.15947164038,0.7775800476308115
86,91,22871.529788761876,41304.15947164038,0.7775800476308115
87,92,22871.529788761876,41304.15947164038,0.7775800476308115
88,93,22871.529788761876,41304.15947164038,0.7775800476308115
89,94,22871.529788761876,41304.15947164038,0.7775800476308115
90,95,22871.529788761876,41304.15947164038,0.7775800476308115
91,96,22871.529788761876,41304.15947164038,0.7775800476308115
92,97,22871.529788761876,41304.15947164038,0.7775800476308115
93,98,22871.529788761876,41304.15947164038,0.7775800476308115
94,99,22871.529788761876,41304.15947164038,0.7775800476308115
95,100,22871.529788761876,41304.15947164038,0.7775800476308115
96,101,22871.529788761876,41304.15947164038,0.7775800476308115
97,102,22871.529788761876,41304.15947164038,0.7775800476308115
98,103,22871.529788761876,41304.15947164038,0.7775800476308115
99,104,22871.529788761876,41304.15947164038,0.7775800476308115
100,105,22871.529788761876,41304.15947164038,0.7775800476308115
101,106,22871.529788761876,41304.15947164038,0.7775800476308115
102,107,22871.529788761876,41304.15947164038,0.7775800476308115
103,108,22871.529788761876,41304.15947164038,0.7775800476308115
104,109,22871.529788761876,41304.15947164038,0.7775800476308115
105,110,22871.529788761876,41304.15947164038,0.7775800476308115
106,111,22871.529788761876,41304.15947164038,0.7775800476308115
107,112,22871.529788761876,41304.15947164038,0.7775800476308115
108,113,22871.529788761876,41304.15947164038,0.7775800476308115
109,114,22871.529788761876,41304.15947164038,0.7775800476308115
110,115,22871.529788761876,41304.15947164038,0.7775800476308115
111,116,22871.529788761876,41304.15947164038,0.7775800476308115
112,117,22871.529788761876,41304.15947164038,0.7775800476308115
113,118,22871.529788761876,41304.15947164038,0.7775800476308115
114,119,22871.529788761876,41304.15947164038,0.7775800476308115
