,K,MAE,RMSE,r2
0,5,31433.21817550333,49043.27673562304,0.6864223335491022
1,6,31205.02294292509,49482.33200970392,0.6807826531778643
2,7,29977.233170933905,48828.08822761483,0.689168082873744
3,8,29002.726591251358,47654.82061175529,0.7039262912429125
4,9,29031.744602146213,47879.09109116854,0.7011330024571288
5,10,29237.85784800114,47199.841574104845,0.7095527641923345
6,11,28308.12553392327,47304.343091850766,0.7082652269397884
7,12,27845.74331188454,46498.55007390828,0.7181195296557472
8,13,28302.565308519737,47129.38052792649,0.7104192900081819
9,14,28392.41411574748,46659.51875238798,0.7161645239853704
10,15,27545.2644006119,45336.376013393594,0.7320339533797267
11,16,27800.20608711425,45524.4974348494,0.7298055114326574
12,17,28079.763288215996,45616.24625945178,0.7287153288404877
13,18,28022.60635400675,45657.97485436778,0.7282187730361774
14,19,28451.45261090232,45934.82516941234,0.7249128516376016
15,20,28578.69280076516,48329.373041054096,0.6954851416419838
16,21,28643.421374118072,48295.05187431414,0.6959174913112283
17,22,28543.983067280555,48195.04669097017,0.6971755225523059
18,23,28318.984801368428,47878.9526834581,0.7011347303695067
19,24,28289.483560517896,47661.37942075272,0.7038447874406637
20,25,28450.889466716344,48164.49973453823,0.6975592729674713
21,26,28601.14795804592,48194.12876942173,0.6971870576159788
22,27,28476.28316793402,48009.18665117111,0.699506651914321
23,28,28158.463781684168,47916.154154279255,0.7006701192466454
24,29,28620.96300905388,47421.38770453107,0.7068197686669013
25,30,28886.123057384706,48274.45944362061,0.6961767502938591
26,31,28687.020865361003,48030.93263125613,0.6992343705973515
27,32,28332.57025273547,46208.74049286541,0.7216223091090646
28,33,28130.03685633962,45975.86358313457,0.724421103468275
29,34,28595.02508961483,47788.58446301144,0.7022618408538484
30,35,28181.34496572061,47048.38947681956,0.7114137140232185
31,36,28269.26804785024,46773.049708660714,0.7147815985976
32,37,27982.298581369545,45904.444389811055,0.7252766104311464
33,38,28188.338512142258,47659.624433324476,0.7038665970950243
34,39,24943.497142609693,43412.12825786112,0.7542982098843339
35,40,24991.786243761846,42751.38054174788,0.7617206245396975
36,41,25077.420091734726,42748.238183988266,0.7617556517840531
37,42,23410.22934965431,41776.95307123747,0.772458985345237
38,43,23187.949113510796,41205.90827138063,0.7786369405151934
39,44,23294.16274321734,41585.224637002226,0.7745427167765633
40,45,22991.040432556973,40631.48653339153,0.7847656470768791
41,46,23333.67689455573,41519.661707262174,0.7752530646388666
42,47,23199.413051005795,41227.1667501698,0.7784084754239395
43,48,23279.384668284623,41482.875720232005,0.7756511350967328
44,49,23454.12639048519,41267.67588058901,0.777972797168703
45,50,23128.56362288981,40725.01783967812,0.7837735927726184
46,51,23327.98301744009,41044.41049327967,0.7803687108949384
47,52,23023.606307846327,41548.823498688434,0.7749372468008453
48,53,23287.407205945827,41481.803531788624,0.7756627322267505
49,54,22810.742199230303,40504.71676546852,0.7861066092973272
50,55,23021.830463393955,40908.53671233673,0.781820442737296
51,56,23296.99224408362,42014.217099364694,0.7698670968102302
52,57,22793.928450198884,41140.607323709126,0.779337993555254
53,58,23215.958624001993,41500.57223702733,0.7754596806603969
54,59,23113.789250733975,40996.17469667936,0.7808846332785895
55,60,23319.7164345167,42107.33585722665,0.7688458502153466
56,61,23194.32477397757,41294.45832467446,0.7776845153299391
57,62,23053.1136325776,40774.441253606434,0.7832484545460425
58,63,23260.466444778165,41121.998384708786,0.7795375704402897
59,64,23537.821401170346,41612.09648827936,0.7742512472901886
60,65,23052.236911634816,41060.74230877259,0.7801938909237455
61,66,23058.61304625125,41067.86224307025,0.7801176555391512
62,67,23287.824386111482,41807.42192209189,0.7721269629792202
63,68,23363.02232948029,41375.83227656468,0.7768074720245537
64,69,23264.42010994893,41252.71389172132,0.7781337641367017
65,70,23106.08563773886,41364.50823499124,0.7769296252460002
66,71,23008.590097918193,41177.586716669386,0.7789411294893757
