,K,MAE,RMSE,r2
0,5,28931.498194832446,52048.318715251706,0.6468171746664371
1,6,28845.157101836456,50889.490124827134,0.662368961213373
2,7,30233.23795036978,51642.19700299099,0.6523072892523369
3,8,29208.33098659977,50299.2561454102,0.6701554666070196
4,9,30514.858733946407,51282.42497936674,0.657134906557147
5,10,29153.37385217679,49917.11556570956,0.6751483106330401
6,11,26741.17272318153,47132.16738318093,0.7103850420136388
7,12,26514.501607810824,46634.63350801192,0.7164672031303176
8,13,26625.576760626234,46725.79334534406,0.715357638674345
9,14,26818.302013566794,46666.86107816689,0.7160751884517865
10,15,26838.052870830837,47224.564983470606,0.709248410349436
11,16,26246.364460231198,46090.1520120917,0.7230493130126276
12,17,27001.010418543006,46531.95205343761,0.7177144096069088
13,18,26706.69419332139,45983.786437934235,0.724326116249366
14,19,26691.023777606744,46071.34501120912,0.7232752853258042
15,20,27061.49899695734,47177.19544693623,0.7098314061072211
16,21,26788.245969707372,46701.65595007379,0.7156516411993774
17,22,26810.345638671617,47258.51267686095,0.7088302426647313
18,23,27006.76159281805,47393.969351174266,0.7071586957077056
19,24,26085.50414299672,46036.54584091362,0.7236931656209498
20,25,26680.65395952825,46353.472212836554,0.719875748677687
21,26,26625.309081194755,47247.336196576456,0.7089679477281371
22,27,25560.834612248695,45252.44122979124,0.7330252479566085
23,28,25246.85151681169,45126.32732662345,0.7345112368126585
24,29,25678.811002410566,45642.727201249174,0.7284002674598598
25,30,26005.239034832048,45964.04307174724,0.72456278932155
26,31,26086.19393488541,46473.515620561455,0.7184229724009861
27,32,26271.429806144435,45573.79165805946,0.7292200579232104
28,33,25773.40588751837,48777.03209206597,0.689817773658555
29,34,25713.37689143293,49046.81449955931,0.6863770917200192
30,35,25202.075246338558,47871.364104962595,0.7012294602121876
31,36,25830.694604511653,49148.514550037224,0.6850751301539411
32,37,25979.573665355274,48826.88732072832,0.6891833722538134
33,38,25948.986148138138,48916.31362898231,0.6880438100785216
34,39,25596.96134483906,48585.87143359736,0.692244261951966
35,40,25466.452895293995,47460.25080637804,0.7063390336001969
36,41,25754.007553024465,47856.16315553059,0.7014191717396809
37,42,25164.945657998916,47256.867553770426,0.7088505142190599
38,43,26009.552323136857,48127.37426907199,0.6980253392789211
39,44,25698.02954205,47956.386697122995,0.700167246747725
40,45,26578.541239704413,48608.94815631819,0.6919518444144332
41,46,25672.63802454074,47763.67684451271,0.7025721248244452
42,47,25396.246726370162,47129.08606339373,0.7104229085994354
43,48,25048.400247479756,47012.67716919814,0.7118516533828396
44,49,25502.128111568203,47477.72410461256,0.7061227612403791
45,50,25198.783812461035,45741.80731662658,0.7272198235023059
46,51,25526.124758845643,47821.563895591775,0.7018507542381534
47,52,25710.5767422021,45837.04811161684,0.7260827085009763
48,53,25319.92919824585,44417.65420054739,0.7427843417101656
49,54,25116.119529653693,43542.28444054071,0.7528226983978257
50,55,25079.891186019762,43939.13597882818,0.7482965367552519
51,56,24997.81665651675,44100.02881666648,0.7464498263700288
52,57,24827.867527084232,44045.806082415475,0.7470729430474639
53,58,24899.187184688246,43822.88315355572,0.7496266734926171
54,59,24641.44870793415,42232.85938260374,0.7674656379073518
55,60,24725.577781872027,42638.80737786134,0.7629738494168832
56,61,24357.256962230935,41991.33561466501,0.7701176952485748
57,62,25859.307358314603,43783.47768112951,0.750076741709142
58,63,25619.5046482504,43394.769340846426,0.7544946648578275
59,64,24849.78010283298,43306.944375102205,0.7554873964355188
60,65,24569.203354981404,42971.59560706514,0.7592595178954831
61,66,24795.6845426992,41775.42647021699,0.7724756145138573
62,67,25080.72628039754,43080.827679798706,0.7580340570343057
63,68,24859.52560751885,42790.70342028933,0.7612820824377111
64,69,22968.002165833142,39204.510673132085,0.7996182149750608
65,70,23274.339748302442,41187.42914057273,0.778835440190254
66,71,23660.124744538676,40567.18606764988,0.7854463368317631
67,72,23839.90395290705,40220.865045444116,0.7890939783645681
68,73,24536.398451476405,42913.033357842614,0.7599152392963686
69,74,22871.529788761876,41304.15947164038,0.7775800476308115
70,75,22871.529788761876,41304.15947164038,0.7775800476308115
71,76,22871.529788761876,41304.15947164038,0.7775800476308115
72,77,22871.529788761876,41304.15947164038,0.7775800476308115
73,78,22871.529788761876,41304.15947164038,0.7775800476308115
74,79,22871.529788761876,41304.15947164038,0.7775800476308115
75,80,22871.529788761876,41304.15947164038,0.7775800476308115
76,81,22871.529788761876,41304.15947164038,0.7775800476308115
77,82,22871.529788761876,41304.15947164038,0.7775800476308115
78,83,22871.529788761876,41304.15947164038,0.7775800476308115
79,84,22871.529788761876,41304.15947164038,0.7775800476308115
80,85,22871.529788761876,41304.15947164038,0.7775800476308115
81,86,22871.529788761876,41304.15947164038,0.7775800476308115
82,87,22871.529788761876,41304.15947164038,0.7775800476308115
83,88,22871.529788761876,41304.15947164038,0.7775800476308115
84,89,22871.529788761876,41304.15947164038,0.7775800476308115
85,90,22871.529788761876,41304.15947164038,0.7775800476308115
86,91,22871.529788761876,41304.15947164038,0.7775800476308115
