SaleCondition_Partial,SaleCondition_Normal,SaleCondition_Family,SaleCondition_Alloca,SaleCondition_AdjLand,SaleCondition_Abnorml,SaleType_WD,SaleType_Oth,SaleType_New,SaleType_ConLw,SaleType_ConLI,SaleType_ConLD,SaleType_Con,SaleType_CWD,SaleType_COD,PavedDrive_Y,PavedDrive_P,PavedDrive_N,GarageCond_nan,GarageCond_TA,GarageCond_Po,GarageCond_Gd,GarageCond_Fa,GarageCond_Ex,GarageQual_nan,GarageQual_TA,GarageQual_Po,GarageQual_Gd,GarageQual_Fa,GarageQual_Ex,GarageFinish_nan,GarageFinish_Unf,GarageFinish_RFn,GarageFinish_Fin,GarageType_nan,GarageType_Detchd,GarageType_CarPort,GarageType_BuiltIn,GarageType_Basment,GarageType_Attchd,GarageType_2Types,Functional_Typ,Functional_Sev,Functional_Mod,Functional_Min2,Functional_Min1,Functional_Maj2,Functional_Maj1,KitchenQual_TA,KitchenQual_Gd,KitchenQual_Fa,KitchenQual_Ex,Electrical_nan,Electrical_SBrkr,Electrical_Mix,Electrical_FuseP,Electrical_FuseF,Electrical_FuseA,CentralAir_Y,CentralAir_N,HeatingQC_TA,HeatingQC_Po,HeatingQC_Gd,HeatingQC_Fa,HeatingQC_Ex,Heating_Wall,Heating_OthW,Heating_Grav,Heating_GasW,Heating_GasA,Heating_Floor,BsmtFinType2_nan,BsmtFinType2_Unf,BsmtFinType2_Rec,BsmtFinType2_LwQ,BsmtFinType2_GLQ,BsmtFinType2_BLQ,BsmtFinType2_ALQ,BsmtFinType1_nan,BsmtFinType1_Unf,BsmtFinType1_Rec,BsmtFinType1_LwQ,BsmtFinType1_GLQ,BsmtFinType1_BLQ,BsmtFinType1_ALQ,BsmtExposure_nan,BsmtExposure_No,BsmtExposure_Mn,BsmtExposure_Gd,BsmtExposure_Av,BsmtCond_nan,BsmtCond_TA,BsmtCond_Po,BsmtCond_Gd,BsmtCond_Fa,BsmtQual_nan,BsmtQual_TA,BsmtQual_Gd,BsmtQual_Fa,BsmtQual_Ex,Foundation_Wood,Foundation_Stone,Foundation_Slab,Foundation_PConc,Foundation_CBlock,Foundation_BrkTil,ExterCond_TA,ExterCond_Po,ExterCond_Gd,ExterCond_Fa,ExterCond_Ex,ExterQual_TA,ExterQual_Gd,ExterQual_Fa,ExterQual_Ex,Exterior2nd_Wd Shng,Exterior2nd_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_Stucco,Exterior2nd_Stone,Exterior2nd_Plywood,Exterior2nd_Other,Exterior2nd_MetalSd,Exterior2nd_ImStucc,Exterior2nd_HdBoard,Exterior2nd_CmentBd,Exterior2nd_CBlock,Exterior2nd_BrkFace,Exterior2nd_Brk Cmn,Exterior2nd_AsphShn,Exterior2nd_AsbShng,Exterior1st_WdShing,Exterior1st_Wd Sdng,Exterior1st_VinylSd,Exterior1st_Stucco,Exterior1st_Stone,Exterior1st_Plywood,Exterior1st_MetalSd,Exterior1st_ImStucc,Exterior1st_HdBoard,Exterior1st_CemntBd,Exterior1st_CBlock,Exterior1st_BrkFace,Exterior1st_BrkComm,Exterior1st_AsphShn,Exterior1st_AsbShng,RoofMatl_WdShngl,RoofMatl_WdShake,RoofMatl_Tar&Grv,RoofMatl_Roll,RoofMatl_Metal,RoofMatl_Membran,RoofMatl_CompShg,RoofMatl_ClyTile,RoofStyle_Shed,RoofStyle_Mansard,RoofStyle_Hip,RoofStyle_Gambrel,RoofStyle_Gable,RoofStyle_Flat,HouseStyle_SLvl,HouseStyle_SFoyer,HouseStyle_2Story,HouseStyle_2.5Unf,HouseStyle_2.5Fin,HouseStyle_1Story,HouseStyle_1.5Unf,HouseStyle_1.5Fin,BldgType_TwnhsE,BldgType_Twnhs,BldgType_Duplex,BldgType_2fmCon,BldgType_1Fam,Condition2_RRNn,Condition2_RRAn,Condition2_RRAe,Condition2_PosN,Condition2_PosA,Condition2_Norm,Condition2_Feedr,Condition2_Artery,Condition1_RRNn,Condition1_RRNe,Condition1_RRAn,Condition1_RRAe,Condition1_PosN,Condition1_PosA,Condition1_Norm,Condition1_Feedr,Condition1_Artery,Neighborhood_Veenker,Neighborhood_Timber,Neighborhood_StoneBr,Neighborhood_Somerst,Neighborhood_SawyerW,Neighborhood_Sawyer,Neighborhood_SWISU,Neighborhood_OldTown,Neighborhood_NridgHt,Neighborhood_NoRidge,Neighborhood_NWAmes,Neighborhood_NPkVill,Neighborhood_NAmes,Neighborhood_Mitchel,Neighborhood_MeadowV,Neighborhood_IDOTRR,Neighborhood_Gilbert,Neighborhood_Edwards,Neighborhood_Crawfor,Neighborhood_CollgCr,Neighborhood_ClearCr,Neighborhood_BrkSide,Neighborhood_BrDale,Neighborhood_Blueste,Neighborhood_Blmngtn,LandSlope_Sev,LandSlope_Mod,LandSlope_Gtl,LotConfig_Inside,LotConfig_FR3,LotConfig_FR2,LotConfig_CulDSac,LotConfig_Corner,Utilities_NoSeWa,Utilities_AllPub,LandContour_Lvl,LandContour_Low,LandContour_HLS,LandContour_Bnk,LotShape_Reg,LotShape_IR3,LotShape_IR2,LotShape_IR1,Street_Pave,Street_Grvl,MSZoning_RM,MSZoning_RL,MSZoning_RH,MSZoning_FV,MSZoning_C (all),GarageArea,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,SalePrice
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,548,2,1710,856,856,7,208500
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,460,2,1262,1262,1262,6,181500
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,608,2,1786,920,920,7,223500
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,642,3,1717,961,756,7,140000
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,836,3,2198,1145,1145,8,250000
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,480,2,1362,796,796,5,143000
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,636,2,1694,1694,1686,8,307000
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,484,2,2090,1107,1107,7,200000
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,468,2,1774,1022,952,7,129900
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,205,1,1077,1077,991,5,118000
